p.value	enrichment	genes
1	2.27611039729876e-13	5.21928307624503	AT1G01550
2	NA	NA	AT1G01720
3	NA	NA	AT1G06410
4	NA	NA	AT1G09070
5	NA	NA	AT1G19770
6	NA	NA	AT1G35140
7	NA	NA	AT1G57680
8	NA	NA	AT1G66160
9	NA	NA	AT1G68440
10	NA	NA	AT1G70090
11	NA	NA	AT1G73670
12	NA	NA	AT1G74450
13	NA	NA	AT1G76600
14	NA	NA	AT2G01850
15	NA	NA	AT2G23810
16	NA	NA	AT2G25735
17	NA	NA	AT2G40000
18	NA	NA	AT2G44920
19	NA	NA	AT2G46830
20	NA	NA	AT3G12320
21	NA	NA	AT3G16830
22	NA	NA	AT3G55430
23	NA	NA	AT3G55980
24	NA	NA	AT3G59950
25	NA	NA	AT5G05440
26	NA	NA	AT5G06980
27	NA	NA	AT5G16830
28	NA	NA	AT5G51460
29	NA	NA	AT5G62130
