p.value	enrichment	genes
1	1.38901547067214e-32	1.86452876053396	AT1G01540
2	NA	NA	AT1G01620
3	NA	NA	AT1G01720
4	NA	NA	AT1G02640
5	NA	NA	AT1G03090
6	NA	NA	AT1G03610
7	NA	NA	AT1G05000
8	NA	NA	AT1G06410
9	NA	NA	AT1G08570
10	NA	NA	AT1G09070
11	NA	NA	AT1G09390
12	NA	NA	AT1G10020
13	NA	NA	AT1G10360
14	NA	NA	AT1G11260
15	NA	NA	AT1G11680
16	NA	NA	AT1G12080
17	NA	NA	AT1G12240
18	NA	NA	AT1G13080
19	NA	NA	AT1G13260
20	NA	NA	AT1G13640
21	NA	NA	AT1G15400
22	NA	NA	AT1G15670
23	NA	NA	AT1G15750
24	NA	NA	AT1G17120
25	NA	NA	AT1G17200
26	NA	NA	AT1G18620
27	NA	NA	AT1G19000
28	NA	NA	AT1G19770
29	NA	NA	AT1G21000
30	NA	NA	AT1G21050
31	NA	NA	AT1G21060
32	NA	NA	AT1G21910
33	NA	NA	AT1G21980
34	NA	NA	AT1G22330
35	NA	NA	AT1G22640
36	NA	NA	AT1G23390
37	NA	NA	AT1G23710
38	NA	NA	AT1G23870
39	NA	NA	AT1G25520
40	NA	NA	AT1G25550
41	NA	NA	AT1G27050
42	NA	NA	AT1G27290
43	NA	NA	AT1G28130
44	NA	NA	AT1G30110
45	NA	NA	AT1G30825
46	NA	NA	AT1G32170
47	NA	NA	AT1G35670
48	NA	NA	AT1G36050
49	NA	NA	AT1G37130
50	NA	NA	AT1G49200
51	NA	NA	AT1G49500
52	NA	NA	AT1G51950
53	NA	NA	AT1G53090
54	NA	NA	AT1G54740
55	NA	NA	AT1G60010
56	NA	NA	AT1G61740
57	NA	NA	AT1G63420
58	NA	NA	AT1G63690
59	NA	NA	AT1G65590
60	NA	NA	AT1G65930
61	NA	NA	AT1G66150
62	NA	NA	AT1G66160
63	NA	NA	AT1G66180
64	NA	NA	AT1G67050
65	NA	NA	AT1G67340
66	NA	NA	AT1G68020
67	NA	NA	AT1G68440
68	NA	NA	AT1G68570
69	NA	NA	AT1G68670
70	NA	NA	AT1G68840
