p.value	enrichment	genes
1	4.57549205830033e-97	3.48506872163585	AT1G01060
2	NA	NA	AT1G01430
3	NA	NA	AT1G01490
4	NA	NA	AT1G01720
5	NA	NA	AT1G02816
6	NA	NA	AT1G03090
7	NA	NA	AT1G03457
8	NA	NA	AT1G03610
9	NA	NA	AT1G03870
10	NA	NA	AT1G04240
11	NA	NA	AT1G05000
12	NA	NA	AT1G06410
13	NA	NA	AT1G06570
14	NA	NA	AT1G08570
15	NA	NA	AT1G09570
16	NA	NA	AT1G09940
17	NA	NA	AT1G10020
18	NA	NA	AT1G10740
19	NA	NA	AT1G12500
20	NA	NA	AT1G13260
21	NA	NA	AT1G14740
22	NA	NA	AT1G15750
23	NA	NA	AT1G17120
24	NA	NA	AT1G18620
25	NA	NA	AT1G19000
26	NA	NA	AT1G19110
27	NA	NA	AT1G20330
28	NA	NA	AT1G21060
29	NA	NA	AT1G21830
30	NA	NA	AT1G21910
31	NA	NA	AT1G21980
32	NA	NA	AT1G22190
33	NA	NA	AT1G22330
34	NA	NA	AT1G22640
35	NA	NA	AT1G23710
36	NA	NA	AT1G23860
37	NA	NA	AT1G24170
38	NA	NA	AT1G25520
39	NA	NA	AT1G25550
40	NA	NA	AT1G25560
41	NA	NA	AT1G27050
42	NA	NA	AT1G27290
43	NA	NA	AT1G30110
44	NA	NA	AT1G30825
45	NA	NA	AT1G31350
46	NA	NA	AT1G33240
47	NA	NA	AT1G33250
48	NA	NA	AT1G35510
49	NA	NA	AT1G37130
50	NA	NA	AT1G44446
51	NA	NA	AT1G49200
52	NA	NA	AT1G49500
53	NA	NA	AT1G49730
54	NA	NA	AT1G50020
55	NA	NA	AT1G53090
56	NA	NA	AT1G54740
57	NA	NA	AT1G55530
58	NA	NA	AT1G55810
59	NA	NA	AT1G57680
60	NA	NA	AT1G58180
61	NA	NA	AT1G60010
62	NA	NA	AT1G60940
63	NA	NA	AT1G61100
64	NA	NA	AT1G65930
65	NA	NA	AT1G66150
66	NA	NA	AT1G66160
67	NA	NA	AT1G66180
68	NA	NA	AT1G68020
69	NA	NA	AT1G68440
70	NA	NA	AT1G68670
71	NA	NA	AT1G68840
72	NA	NA	AT1G69270
73	NA	NA	AT1G69570
74	NA	NA	AT1G70090
75	NA	NA	AT1G70410
76	NA	NA	AT1G70710
77	NA	NA	AT1G70940
78	NA	NA	AT1G71960
79	NA	NA	AT1G71970
80	NA	NA	AT1G72750
81	NA	NA	AT1G72820
82	NA	NA	AT1G73540
83	NA	NA	AT1G73660
84	NA	NA	AT1G73670
85	NA	NA	AT1G73830
86	NA	NA	AT1G74670
87	NA	NA	AT1G75170
88	NA	NA	AT1G75180
89	NA	NA	AT1G75240
90	NA	NA	AT1G75500
91	NA	NA	AT1G76990
92	NA	NA	AT1G77690
93	NA	NA	AT1G79420
94	NA	NA	AT1G79700
95	NA	NA	AT2G01140
96	NA	NA	AT2G01850
97	NA	NA	AT2G01860
98	NA	NA	AT2G01930
99	NA	NA	AT2G02180
100	NA	NA	AT2G03730
101	NA	NA	AT2G05790
102	NA	NA	AT2G18090
103	NA	NA	AT2G23290
104	NA	NA	AT2G23460
105	NA	NA	AT2G24100
106	NA	NA	AT2G24550
107	NA	NA	AT2G24790
108	NA	NA	AT2G26710
109	NA	NA	AT2G27050
110	NA	NA	AT2G27490
111	NA	NA	AT2G27500
112	NA	NA	AT2G30040
113	NA	NA	AT2G30490
114	NA	NA	AT2G30520
115	NA	NA	AT2G30590
116	NA	NA	AT2G31160
117	NA	NA	AT2G33310
118	NA	NA	AT2G33700
119	NA	NA	AT2G34070
120	NA	NA	AT2G36950
121	NA	NA	AT2G39010
122	NA	NA	AT2G40000
123	NA	NA	AT2G40810
124	NA	NA	AT2G40970
125	NA	NA	AT2G41290
126	NA	NA	AT2G41310
127	NA	NA	AT2G41630
128	NA	NA	AT2G42870
129	NA	NA	AT2G44080
130	NA	NA	AT2G44500
131	NA	NA	AT2G44920
132	NA	NA	AT2G45880
133	NA	NA	AT2G46330
134	NA	NA	AT2G46735
135	NA	NA	AT2G46780
136	NA	NA	AT2G46800
137	NA	NA	AT2G46830
138	NA	NA	AT2G47160
139	NA	NA	AT2G47440
140	NA	NA	AT2G47490
141	NA	NA	AT2G47940
142	NA	NA	AT2G48020
143	NA	NA	AT3G01490
144	NA	NA	AT3G01520
145	NA	NA	AT3G01560
146	NA	NA	AT3G01820
147	NA	NA	AT3G02140
148	NA	NA	AT3G02880
149	NA	NA	AT3G05490
150	NA	NA	AT3G06070
151	NA	NA	AT3G06760
152	NA	NA	AT3G07340
153	NA	NA	AT3G07350
154	NA	NA	AT3G08600
155	NA	NA	AT3G11700
156	NA	NA	AT3G11760
157	NA	NA	AT3G12920
