p.value	enrichment	genes
1	1.57870745360697e-144	4.45025059910467	AT1G01060
2	NA	NA	AT1G01430
3	NA	NA	AT1G01490
4	NA	NA	AT1G01540
5	NA	NA	AT1G01620
6	NA	NA	AT1G01720
7	NA	NA	AT1G02640
8	NA	NA	AT1G02816
9	NA	NA	AT1G03610
10	NA	NA	AT1G03870
11	NA	NA	AT1G04240
12	NA	NA	AT1G05000
13	NA	NA	AT1G06390
14	NA	NA	AT1G06410
15	NA	NA	AT1G06570
16	NA	NA	AT1G08570
17	NA	NA	AT1G09070
18	NA	NA	AT1G09390
19	NA	NA	AT1G09570
20	NA	NA	AT1G09940
21	NA	NA	AT1G11260
22	NA	NA	AT1G12080
23	NA	NA	AT1G12240
24	NA	NA	AT1G12580
25	NA	NA	AT1G13080
26	NA	NA	AT1G13260
27	NA	NA	AT1G13960
28	NA	NA	AT1G15670
29	NA	NA	AT1G15750
30	NA	NA	AT1G19000
31	NA	NA	AT1G19110
32	NA	NA	AT1G19770
33	NA	NA	AT1G21000
34	NA	NA	AT1G21010
35	NA	NA	AT1G21050
36	NA	NA	AT1G22190
37	NA	NA	AT1G22330
38	NA	NA	AT1G22640
39	NA	NA	AT1G22930
40	NA	NA	AT1G23050
41	NA	NA	AT1G23710
42	NA	NA	AT1G23870
43	NA	NA	AT1G24170
44	NA	NA	AT1G25550
45	NA	NA	AT1G25560
46	NA	NA	AT1G27050
47	NA	NA	AT1G27290
48	NA	NA	AT1G28130
49	NA	NA	AT1G30110
50	NA	NA	AT1G30570
51	NA	NA	AT1G32170
52	NA	NA	AT1G33240
53	NA	NA	AT1G35510
54	NA	NA	AT1G35670
55	NA	NA	AT1G36050
56	NA	NA	AT1G37130
57	NA	NA	AT1G45688
58	NA	NA	AT1G48260
59	NA	NA	AT1G49500
60	NA	NA	AT1G49730
61	NA	NA	AT1G53560
62	NA	NA	AT1G54740
63	NA	NA	AT1G55810
64	NA	NA	AT1G56590
65	NA	NA	AT1G57680
66	NA	NA	AT1G61740
67	NA	NA	AT1G63090
68	NA	NA	AT1G63420
69	NA	NA	AT1G65590
70	NA	NA	AT1G66150
71	NA	NA	AT1G66160
72	NA	NA	AT1G66180
73	NA	NA	AT1G67050
74	NA	NA	AT1G67340
75	NA	NA	AT1G67590
76	NA	NA	AT1G68020
77	NA	NA	AT1G68140
78	NA	NA	AT1G68440
79	NA	NA	AT1G68670
80	NA	NA	AT1G68840
81	NA	NA	AT1G69270
82	NA	NA	AT1G69570
83	NA	NA	AT1G69800
84	NA	NA	AT1G70940
85	NA	NA	AT1G72750
86	NA	NA	AT1G72820
87	NA	NA	AT1G73540
88	NA	NA	AT1G73670
89	NA	NA	AT1G73830
90	NA	NA	AT1G74780
91	NA	NA	AT1G74840
92	NA	NA	AT1G75170
93	NA	NA	AT1G75180
94	NA	NA	AT1G76490
95	NA	NA	AT1G76600
96	NA	NA	AT1G76990
97	NA	NA	AT1G77450
98	NA	NA	AT1G77760
99	NA	NA	AT1G78150
100	NA	NA	AT1G78510
101	NA	NA	AT1G79420
102	NA	NA	AT1G80440
103	NA	NA	AT2G01140
104	NA	NA	AT2G01590
105	NA	NA	AT2G01850
106	NA	NA	AT2G02180
107	NA	NA	AT2G06850
108	NA	NA	AT2G18090
109	NA	NA	AT2G18300
110	NA	NA	AT2G18700
111	NA	NA	AT2G20670
112	NA	NA	AT2G21120
113	NA	NA	AT2G21880
114	NA	NA	AT2G23460
115	NA	NA	AT2G23810
116	NA	NA	AT2G24100
117	NA	NA	AT2G24790
118	NA	NA	AT2G25900
119	NA	NA	AT2G26690
120	NA	NA	AT2G26710
121	NA	NA	AT2G27490
122	NA	NA	AT2G27500
123	NA	NA	AT2G27830
124	NA	NA	AT2G30040
125	NA	NA	AT2G30490
126	NA	NA	AT2G34340
127	NA	NA	AT2G36950
128	NA	NA	AT2G38310
129	NA	NA	AT2G38820
130	NA	NA	AT2G40000
131	NA	NA	AT2G40610
132	NA	NA	AT2G40810
133	NA	NA	AT2G40970
134	NA	NA	AT2G41070
135	NA	NA	AT2G41310
136	NA	NA	AT2G42780
137	NA	NA	AT2G42870
138	NA	NA	AT2G43060
139	NA	NA	AT2G43400
140	NA	NA	AT2G44500
141	NA	NA	AT2G44920
142	NA	NA	AT2G45170
143	NA	NA	AT2G45880
144	NA	NA	AT2G45960
145	NA	NA	AT2G46310
146	NA	NA	AT2G46330
147	NA	NA	AT2G46735
148	NA	NA	AT2G46780
149	NA	NA	AT2G46800
150	NA	NA	AT2G46830
151	NA	NA	AT2G47160
152	NA	NA	AT2G47440
153	NA	NA	AT2G47940
154	NA	NA	AT2G48020
155	NA	NA	AT3G01560
156	NA	NA	AT3G01820
157	NA	NA	AT3G02140
158	NA	NA	AT3G02540
159	NA	NA	AT3G03990
160	NA	NA	AT3G05820
161	NA	NA	AT3G06080
162	NA	NA	AT3G06780
163	NA	NA	AT3G07350
164	NA	NA	AT3G11700
165	NA	NA	AT3G11760
166	NA	NA	AT3G11770
167	NA	NA	AT3G12120
168	NA	NA	AT3G12920
169	NA	NA	AT3G13040
170	NA	NA	AT3G14770
171	NA	NA	AT3G14990
172	NA	NA	AT3G15450
173	NA	NA	AT3G15770
174	NA	NA	AT3G16620
175	NA	NA	AT3G16800
176	NA	NA	AT3G16830
177	NA	NA	AT3G16850
178	NA	NA	AT3G17000
179	NA	NA	AT3G17100
180	NA	NA	AT3G17510
181	NA	NA	AT3G17860
182	NA	NA	AT3G18780
183	NA	NA	AT3G19800
184	NA	NA	AT3G22440
185	NA	NA	AT3G23030
186	NA	NA	AT3G23050
187	NA	NA	AT3G23230
188	NA	NA	AT3G23920
189	NA	NA	AT3G24550
190	NA	NA	AT3G26510
191	NA	NA	AT3G26520
192	NA	NA	AT3G26810
193	NA	NA	AT3G29370
194	NA	NA	AT3G44610
195	NA	NA	AT3G45730
196	NA	NA	AT3G46600
197	NA	NA	AT3G47340
198	NA	NA	AT3G47620
199	NA	NA	AT3G48100
200	NA	NA	AT3G48990
201	NA	NA	AT3G49790
202	NA	NA	AT3G49810
203	NA	NA	AT3G50060
204	NA	NA	AT3G50740
205	NA	NA	AT3G50750
206	NA	NA	AT3G51950
207	NA	NA	AT3G52060
208	NA	NA	AT3G52450
209	NA	NA	AT3G53420
210	NA	NA	AT3G54500
211	NA	NA	AT3G55430
212	NA	NA	AT3G55980
213	NA	NA	AT3G56200
214	NA	NA	AT3G57040
215	NA	NA	AT3G57340
216	NA	NA	AT3G57530
217	NA	NA	AT3G57550
218	NA	NA	AT3G58120
219	NA	NA	AT3G58620
220	NA	NA	AT3G61060
221	NA	NA	AT3G61580
222	NA	NA	AT3G61630
223	NA	NA	AT3G62720
224	NA	NA	AT3G62980
225	NA	NA	AT3G63010
226	NA	NA	AT3G63500
227	NA	NA	AT4G00710
228	NA	NA	AT4G00720
229	NA	NA	AT4G00730
230	NA	NA	AT4G00830
231	NA	NA	AT4G01250
232	NA	NA	AT4G01840
233	NA	NA	AT4G02940
234	NA	NA	AT4G08950
235	NA	NA	AT4G11330
236	NA	NA	AT4G13180
237	NA	NA	AT4G14900
238	NA	NA	AT4G16780
239	NA	NA	AT4G17530
240	NA	NA	AT4G18700
241	NA	NA	AT4G18710
242	NA	NA	AT4G19420
243	NA	NA	AT4G19460
244	NA	NA	AT4G22920
245	NA	NA	AT4G25470
246	NA	NA	AT4G25570
247	NA	NA	AT4G25620
248	NA	NA	AT4G25700
249	NA	NA	AT4G27657
250	NA	NA	AT4G27780
251	NA	NA	AT4G27940
252	NA	NA	AT4G28240
253	NA	NA	AT4G28260
254	NA	NA	AT4G28290
255	NA	NA	AT4G30210
256	NA	NA	AT4G30270
257	NA	NA	AT4G31080
258	NA	NA	AT4G32030
259	NA	NA	AT4G32300
260	NA	NA	AT4G33666
261	NA	NA	AT4G34000
262	NA	NA	AT4G34150
263	NA	NA	AT4G35090
264	NA	NA	AT4G35470
265	NA	NA	AT4G35770
266	NA	NA	AT4G35780
267	NA	NA	AT4G36030
268	NA	NA	AT4G36860
269	NA	NA	AT4G37330
270	NA	NA	AT4G37460
271	NA	NA	AT4G37540
272	NA	NA	AT4G38060
273	NA	NA	AT4G38470
274	NA	NA	AT4G38670
275	NA	NA	AT4G38700
276	NA	NA	AT4G38840
277	NA	NA	AT4G39100
278	NA	NA	AT4G39400
279	NA	NA	AT4G39640
280	NA	NA	AT5G01350
281	NA	NA	AT5G01810
282	NA	NA	AT5G03140
283	NA	NA	AT5G04760
284	NA	NA	AT5G05140
285	NA	NA	AT5G05440
286	NA	NA	AT5G06980
287	NA	NA	AT5G08350
288	NA	NA	AT5G09760
289	NA	NA	AT5G10450
290	NA	NA	AT5G11650
291	NA	NA	AT5G12050
292	NA	NA	AT5G13100
293	NA	NA	AT5G13760
294	NA	NA	AT5G13770
295	NA	NA	AT5G14740
296	NA	NA	AT5G16830
297	NA	NA	AT5G18170
298	NA	NA	AT5G18630
299	NA	NA	AT5G18650
300	NA	NA	AT5G19120
301	NA	NA	AT5G19200
302	NA	NA	AT5G19875
303	NA	NA	AT5G20110
304	NA	NA	AT5G20250
305	NA	NA	AT5G22940
306	NA	NA	AT5G23340
307	NA	NA	AT5G23460
308	NA	NA	AT5G24870
309	NA	NA	AT5G24890
310	NA	NA	AT5G24930
311	NA	NA	AT5G25460
312	NA	NA	AT5G27350
313	NA	NA	AT5G40250
314	NA	NA	AT5G40890
315	NA	NA	AT5G41080
316	NA	NA	AT5G42100
317	NA	NA	AT5G45410
318	NA	NA	AT5G47180
319	NA	NA	AT5G48540
320	NA	NA	AT5G49100
321	NA	NA	AT5G49360
322	NA	NA	AT5G49480
323	NA	NA	AT5G51460
324	NA	NA	AT5G52570
325	NA	NA	AT5G54300
326	NA	NA	AT5G54310
327	NA	NA	AT5G54380
328	NA	NA	AT5G56980
329	NA	NA	AT5G57560
330	NA	NA	AT5G58430
331	NA	NA	AT5G58650
332	NA	NA	AT5G58720
333	NA	NA	AT5G59150
