p.value	enrichment	genes
1	5.42782185369603e-07	2.46706743575293	AT1G04180
2	NA	NA	AT1G20650
3	NA	NA	AT1G30690
4	NA	NA	AT1G53580
5	NA	NA	AT1G60190
6	NA	NA	AT1G64660
7	NA	NA	AT1G72450
8	NA	NA	AT1G73480
9	NA	NA	AT1G74790
10	NA	NA	AT2G01890
11	NA	NA	AT2G04350
12	NA	NA	AT2G32150
13	NA	NA	AT2G42190
14	NA	NA	AT2G43010
15	NA	NA	AT2G45310
16	NA	NA	AT2G47180
17	NA	NA	AT3G05630
18	NA	NA	AT3G11670
19	NA	NA	AT3G13640
20	NA	NA	AT3G15350
21	NA	NA	AT3G23400
22	NA	NA	AT3G46690
23	NA	NA	AT3G54810
24	NA	NA	AT3G59060
25	NA	NA	AT4G11820
26	NA	NA	AT4G23050
27	NA	NA	AT4G32020
28	NA	NA	AT4G39350
29	NA	NA	AT5G04590
30	NA	NA	AT5G08130
31	NA	NA	AT5G19040
32	NA	NA	AT5G22890
33	NA	NA	AT5G24380
34	NA	NA	AT5G43745
35	NA	NA	AT5G48930
36	NA	NA	AT5G53120
37	NA	NA	AT5G54470
