p.value	enrichment	genes
1	4.51411935042981e-65	2.47214833635648	AT1G01060
2	NA	NA	AT1G01430
3	NA	NA	AT1G01490
4	NA	NA	AT1G01540
5	NA	NA	AT1G01550
6	NA	NA	AT1G01620
7	NA	NA	AT1G01720
8	NA	NA	AT1G02640
9	NA	NA	AT1G02816
10	NA	NA	AT1G03610
11	NA	NA	AT1G03870
12	NA	NA	AT1G04240
13	NA	NA	AT1G05000
14	NA	NA	AT1G06390
15	NA	NA	AT1G06410
16	NA	NA	AT1G06570
17	NA	NA	AT1G08570
18	NA	NA	AT1G09070
19	NA	NA	AT1G09390
20	NA	NA	AT1G09570
21	NA	NA	AT1G09940
22	NA	NA	AT1G11260
23	NA	NA	AT1G12080
24	NA	NA	AT1G12240
25	NA	NA	AT1G12580
26	NA	NA	AT1G13080
27	NA	NA	AT1G13260
28	NA	NA	AT1G15670
29	NA	NA	AT1G15750
30	NA	NA	AT1G19000
31	NA	NA	AT1G19110
32	NA	NA	AT1G19770
33	NA	NA	AT1G21000
34	NA	NA	AT1G21010
35	NA	NA	AT1G21050
36	NA	NA	AT1G22190
37	NA	NA	AT1G22330
38	NA	NA	AT1G22640
39	NA	NA	AT1G23050
40	NA	NA	AT1G23710
41	NA	NA	AT1G24170
42	NA	NA	AT1G25550
43	NA	NA	AT1G25560
44	NA	NA	AT1G27050
45	NA	NA	AT1G27290
46	NA	NA	AT1G27300
47	NA	NA	AT1G30110
48	NA	NA	AT1G30570
49	NA	NA	AT1G32460
50	NA	NA	AT1G33240
51	NA	NA	AT1G35510
52	NA	NA	AT1G35670
53	NA	NA	AT1G37130
54	NA	NA	AT1G45688
55	NA	NA	AT1G48260
56	NA	NA	AT1G49500
57	NA	NA	AT1G49730
58	NA	NA	AT1G53170
59	NA	NA	AT1G53560
60	NA	NA	AT1G54740
61	NA	NA	AT1G55810
62	NA	NA	AT1G56590
63	NA	NA	AT1G57680
64	NA	NA	AT1G58290
65	NA	NA	AT1G61740
66	NA	NA	AT1G63420
67	NA	NA	AT1G65590
68	NA	NA	AT1G66150
69	NA	NA	AT1G66160
70	NA	NA	AT1G66180
71	NA	NA	AT1G66760
72	NA	NA	AT1G67340
73	NA	NA	AT1G67590
74	NA	NA	AT1G68020
75	NA	NA	AT1G68140
76	NA	NA	AT1G68440
77	NA	NA	AT1G68670
78	NA	NA	AT1G68840
79	NA	NA	AT1G69270
80	NA	NA	AT1G69570
81	NA	NA	AT1G69800
82	NA	NA	AT1G70940
83	NA	NA	AT1G72750
84	NA	NA	AT1G72820
85	NA	NA	AT1G73250
86	NA	NA	AT1G73540
87	NA	NA	AT1G73670
88	NA	NA	AT1G73830
89	NA	NA	AT1G74780
90	NA	NA	AT1G74840
91	NA	NA	AT1G75170
92	NA	NA	AT1G75180
93	NA	NA	AT1G76490
94	NA	NA	AT1G76600
95	NA	NA	AT1G76990
96	NA	NA	AT1G77450
97	NA	NA	AT1G77760
98	NA	NA	AT1G78510
99	NA	NA	AT1G79420
100	NA	NA	AT1G79750
101	NA	NA	AT1G80440
102	NA	NA	AT2G01140
103	NA	NA	AT2G01590
104	NA	NA	AT2G01850
105	NA	NA	AT2G02180
106	NA	NA	AT2G06850
107	NA	NA	AT2G18090
108	NA	NA	AT2G18300
109	NA	NA	AT2G18700
110	NA	NA	AT2G20670
111	NA	NA	AT2G21120
112	NA	NA	AT2G23320
113	NA	NA	AT2G23460
114	NA	NA	AT2G23810
115	NA	NA	AT2G24100
116	NA	NA	AT2G24790
117	NA	NA	AT2G25900
118	NA	NA	AT2G26710
119	NA	NA	AT2G27500
120	NA	NA	AT2G27830
121	NA	NA	AT2G30040
122	NA	NA	AT2G30490
123	NA	NA	AT2G34340
124	NA	NA	AT2G36950
125	NA	NA	AT2G38310
126	NA	NA	AT2G38820
127	NA	NA	AT2G40000
128	NA	NA	AT2G40610
129	NA	NA	AT2G40970
130	NA	NA	AT2G41070
131	NA	NA	AT2G41310
132	NA	NA	AT2G42780
133	NA	NA	AT2G42870
134	NA	NA	AT2G44500
135	NA	NA	AT2G44920
136	NA	NA	AT2G45880
137	NA	NA	AT2G45960
138	NA	NA	AT2G46310
139	NA	NA	AT2G46330
140	NA	NA	AT2G46735
141	NA	NA	AT2G46780
142	NA	NA	AT2G46800
143	NA	NA	AT2G46830
144	NA	NA	AT2G47440
145	NA	NA	AT2G47940
146	NA	NA	AT2G48020
147	NA	NA	AT3G01560
148	NA	NA	AT3G01820
149	NA	NA	AT3G02140
150	NA	NA	AT3G02540
151	NA	NA	AT3G03990
152	NA	NA	AT3G05820
153	NA	NA	AT3G06080
154	NA	NA	AT3G06780
155	NA	NA	AT3G07350
156	NA	NA	AT3G11700
157	NA	NA	AT3G11760
158	NA	NA	AT3G11770
159	NA	NA	AT3G12120
160	NA	NA	AT3G12920
161	NA	NA	AT3G13040
