p.value	enrichment	genes
1	4.56422081195149e-26	6.85053153448182	AT1G01550
2	NA	NA	AT1G01720
3	NA	NA	AT1G06410
4	NA	NA	AT1G09070
5	NA	NA	AT1G19000
6	NA	NA	AT1G19770
7	NA	NA	AT1G22190
8	NA	NA	AT1G37130
9	NA	NA	AT1G57680
10	NA	NA	AT1G66160
11	NA	NA	AT1G66180
12	NA	NA	AT1G68440
13	NA	NA	AT1G68840
14	NA	NA	AT1G73540
15	NA	NA	AT1G73670
16	NA	NA	AT1G74450
17	NA	NA	AT1G76600
18	NA	NA	AT2G01850
19	NA	NA	AT2G23810
20	NA	NA	AT2G25735
21	NA	NA	AT2G30040
22	NA	NA	AT2G40000
23	NA	NA	AT2G44920
24	NA	NA	AT2G46830
25	NA	NA	AT3G16830
26	NA	NA	AT3G55430
27	NA	NA	AT3G55980
28	NA	NA	AT3G57530
29	NA	NA	AT3G63500
30	NA	NA	AT4G01950
31	NA	NA	AT4G08950
32	NA	NA	AT4G16780
33	NA	NA	AT4G27657
34	NA	NA	AT4G27940
35	NA	NA	AT4G30270
36	NA	NA	AT4G32030
37	NA	NA	AT4G33666
38	NA	NA	AT4G34150
39	NA	NA	AT5G05440
40	NA	NA	AT5G06980
41	NA	NA	AT5G13100
42	NA	NA	AT5G16830
43	NA	NA	AT5G22940
44	NA	NA	AT5G51460
45	NA	NA	AT5G57560
46	NA	NA	AT5G59730
