p.value	enrichment	genes
1	5.40850779145288e-26	4.13407479617157	AT1G07420
2	NA	NA	AT1G10090
3	NA	NA	AT1G10760
4	NA	NA	AT1G11210
5	NA	NA	AT1G12710
6	NA	NA	AT1G13930
7	NA	NA	AT1G20030
8	NA	NA	AT1G20696
9	NA	NA	AT1G21680
10	NA	NA	AT1G22770
11	NA	NA	AT1G25320
12	NA	NA	AT1G28050
13	NA	NA	AT1G51090
14	NA	NA	AT1G56300
15	NA	NA	AT1G60800
16	NA	NA	AT1G68500
17	NA	NA	AT1G70420
18	NA	NA	AT1G72180
19	NA	NA	AT1G76590
20	NA	NA	AT1G78380
21	NA	NA	AT2G17840
22	NA	NA	AT2G21660
23	NA	NA	AT2G39710
24	NA	NA	AT2G42200
25	NA	NA	AT2G42530
26	NA	NA	AT2G45590
27	NA	NA	AT2G45660
28	NA	NA	AT2G46060
29	NA	NA	AT3G05220
30	NA	NA	AT3G05800
31	NA	NA	AT3G17020
32	NA	NA	AT3G18080
33	NA	NA	AT3G26580
34	NA	NA	AT3G27210
35	NA	NA	AT3G46630
36	NA	NA	AT3G47160
37	NA	NA	AT3G51400
38	NA	NA	AT3G51660
39	NA	NA	AT3G53460
40	NA	NA	AT3G60380
41	NA	NA	AT4G01026
42	NA	NA	AT4G03210
43	NA	NA	AT4G04330
44	NA	NA	AT4G11370
45	NA	NA	AT4G11600
46	NA	NA	AT4G14230
47	NA	NA	AT4G14270
48	NA	NA	AT4G16146
49	NA	NA	AT4G19120
50	NA	NA	AT4G25480
51	NA	NA	AT4G27440
52	NA	NA	AT4G27820
53	NA	NA	AT4G32340
54	NA	NA	AT4G33980
55	NA	NA	AT4G39090
56	NA	NA	AT4G39260
57	NA	NA	AT5G05410
58	NA	NA	AT5G08330
59	NA	NA	AT5G11060
60	NA	NA	AT5G14270
61	NA	NA	AT5G14550
62	NA	NA	AT5G24470
63	NA	NA	AT5G42900
64	NA	NA	AT5G48250
65	NA	NA	AT5G57630
66	NA	NA	AT5G58070
67	NA	NA	AT5G61810
68	NA	NA	AT5G62360
69	NA	NA	AT5G63810
