p.value	enrichment	genes
1	1.12496137299987e-34	3.07777503723096	AT1G01060
2	NA	NA	AT1G01540
3	NA	NA	AT1G01550
4	NA	NA	AT1G03090
5	NA	NA	AT1G06410
6	NA	NA	AT1G09070
7	NA	NA	AT1G09390
8	NA	NA	AT1G10020
9	NA	NA	AT1G11260
10	NA	NA	AT1G13260
11	NA	NA	AT1G19770
12	NA	NA	AT1G21010
13	NA	NA	AT1G22190
14	NA	NA	AT1G23390
15	NA	NA	AT1G23710
16	NA	NA	AT1G25550
17	NA	NA	AT1G25560
18	NA	NA	AT1G31420
19	NA	NA	AT1G35140
20	NA	NA	AT1G37130
21	NA	NA	AT1G45688
22	NA	NA	AT1G49500
23	NA	NA	AT1G51950
24	NA	NA	AT1G53560
25	NA	NA	AT1G57680
26	NA	NA	AT1G66160
27	NA	NA	AT1G66180
28	NA	NA	AT1G68670
29	NA	NA	AT1G68840
30	NA	NA	AT1G72820
31	NA	NA	AT1G73670
32	NA	NA	AT1G76600
33	NA	NA	AT1G76990
34	NA	NA	AT1G77760
35	NA	NA	AT1G80440
36	NA	NA	AT2G01590
37	NA	NA	AT2G01850
38	NA	NA	AT2G18090
39	NA	NA	AT2G19800
40	NA	NA	AT2G20670
41	NA	NA	AT2G24790
42	NA	NA	AT2G27500
43	NA	NA	AT2G30040
44	NA	NA	AT2G30490
45	NA	NA	AT2G36950
46	NA	NA	AT2G38310
47	NA	NA	AT2G40000
48	NA	NA	AT3G01560
49	NA	NA	AT3G01820
50	NA	NA	AT3G04730
51	NA	NA	AT3G05200
52	NA	NA	AT3G11700
53	NA	NA	AT3G12150
54	NA	NA	AT3G12630
55	NA	NA	AT3G14990
56	NA	NA	AT3G15450
57	NA	NA	AT3G15850
58	NA	NA	AT3G16500
59	NA	NA	AT3G19580
60	NA	NA	AT3G19680
61	NA	NA	AT3G23030
62	NA	NA	AT3G24550
63	NA	NA	AT3G26810
64	NA	NA	AT3G30775
65	NA	NA	AT3G47430
66	NA	NA	AT3G49220
67	NA	NA	AT3G49790
68	NA	NA	AT3G50790
69	NA	NA	AT3G52230
70	NA	NA	AT3G53420
71	NA	NA	AT3G54140
72	NA	NA	AT3G55430
73	NA	NA	AT3G55960
74	NA	NA	AT3G55980
75	NA	NA	AT3G56360
76	NA	NA	AT3G61580
77	NA	NA	AT3G62980
78	NA	NA	AT3G63010
79	NA	NA	AT4G00730
80	NA	NA	AT4G01250
81	NA	NA	AT4G01720
82	NA	NA	AT4G02380
83	NA	NA	AT4G08950
84	NA	NA	AT4G25470
85	NA	NA	AT4G27657
86	NA	NA	AT4G27940
87	NA	NA	AT4G28240
88	NA	NA	AT4G30210
89	NA	NA	AT4G32030
90	NA	NA	AT4G34150
91	NA	NA	AT4G37540
92	NA	NA	AT4G39400
93	NA	NA	AT5G01350
94	NA	NA	AT5G03140
95	NA	NA	AT5G05440
96	NA	NA	AT5G11090
97	NA	NA	AT5G12230
98	NA	NA	AT5G13100
99	NA	NA	AT5G13760
100	NA	NA	AT5G14730
101	NA	NA	AT5G17350
102	NA	NA	AT5G18630
103	NA	NA	AT5G19120
104	NA	NA	AT5G20250
105	NA	NA	AT5G22940
106	NA	NA	AT5G24870
107	NA	NA	AT5G25280
108	NA	NA	AT5G27350
109	NA	NA	AT5G40250
110	NA	NA	AT5G41080
111	NA	NA	AT5G42100
112	NA	NA	AT5G49480
113	NA	NA	AT5G51460
114	NA	NA	AT5G54380
115	NA	NA	AT5G56980
116	NA	NA	AT5G57560
117	NA	NA	AT5G58350
118	NA	NA	AT5G58650
119	NA	NA	AT5G58720
120	NA	NA	AT5G59730
121	NA	NA	AT5G60680
122	NA	NA	AT5G60850
123	NA	NA	AT5G65430
124	NA	NA	AT5G67420
