p.value	enrichment	genes
1	1.38859614282108e-06	2.3870243896706	AT1G11260
2	NA	NA	AT1G22400
3	NA	NA	AT1G26790
4	NA	NA	AT1G55960
5	NA	NA	AT1G69570
6	NA	NA	AT2G19800
7	NA	NA	AT2G20670
8	NA	NA	AT2G24270
9	NA	NA	AT2G30520
10	NA	NA	AT2G39010
11	NA	NA	AT2G46830
12	NA	NA	AT3G12320
13	NA	NA	AT3G13750
14	NA	NA	AT3G15450
15	NA	NA	AT3G26520
16	NA	NA	AT3G30775
17	NA	NA	AT3G54500
18	NA	NA	AT3G61060
19	NA	NA	AT3G61580
20	NA	NA	AT4G19200
21	NA	NA	AT4G37610
22	NA	NA	AT5G05440
23	NA	NA	AT5G06980
24	NA	NA	AT5G14120
25	NA	NA	AT5G20250
26	NA	NA	AT5G22920
27	NA	NA	AT5G25350
28	NA	NA	AT5G39660
29	NA	NA	AT5G49360
30	NA	NA	AT5G57660
31	NA	NA	AT5G62430
