p.value	enrichment	genes
1	4.25637879780136e-15	2.95780799948943	AT1G09570
2	NA	NA	AT1G13260
3	NA	NA	AT1G18460
4	NA	NA	AT1G23030
5	NA	NA	AT1G23710
6	NA	NA	AT1G32460
7	NA	NA	AT1G35140
8	NA	NA	AT1G66150
9	NA	NA	AT1G68440
10	NA	NA	AT1G68670
11	NA	NA	AT1G70090
12	NA	NA	AT1G72750
13	NA	NA	AT1G73670
14	NA	NA	AT2G18090
15	NA	NA	AT2G23460
16	NA	NA	AT2G24100
17	NA	NA	AT2G24765
18	NA	NA	AT2G33700
19	NA	NA	AT2G42580
20	NA	NA	AT2G43330
21	NA	NA	AT2G44080
22	NA	NA	AT2G45960
23	NA	NA	AT2G46735
24	NA	NA	AT2G46780
25	NA	NA	AT2G46800
26	NA	NA	AT2G47440
27	NA	NA	AT2G47490
28	NA	NA	AT3G01560
29	NA	NA	AT3G11700
30	NA	NA	AT3G19680
31	NA	NA	AT3G19970
32	NA	NA	AT3G26810
33	NA	NA	AT3G54920
34	NA	NA	AT3G58620
35	NA	NA	AT3G60080
36	NA	NA	AT3G62720
37	NA	NA	AT3G63010
38	NA	NA	AT4G19140
39	NA	NA	AT4G19200
40	NA	NA	AT4G25390
41	NA	NA	AT4G30210
42	NA	NA	AT4G34150
43	NA	NA	AT4G35470
44	NA	NA	AT4G37760
45	NA	NA	AT4G37790
46	NA	NA	AT5G05140
47	NA	NA	AT5G07300
48	NA	NA	AT5G11690
49	NA	NA	AT5G13100
50	NA	NA	AT5G13760
51	NA	NA	AT5G19120
52	NA	NA	AT5G25280
53	NA	NA	AT5G40250
54	NA	NA	AT5G57660
55	NA	NA	AT5G67420
