p.value	enrichment	genes
1	2.89386692284809e-21	1.47135639146485	AT1G01120
2	NA	NA	AT1G01360
3	NA	NA	AT1G01540
4	NA	NA	AT1G01550
5	NA	NA	AT1G01620
6	NA	NA	AT1G01720
7	NA	NA	AT1G02640
8	NA	NA	AT1G03090
9	NA	NA	AT1G03610
10	NA	NA	AT1G05000
11	NA	NA	AT1G06410
12	NA	NA	AT1G07700
13	NA	NA	AT1G08570
14	NA	NA	AT1G09070
15	NA	NA	AT1G09390
16	NA	NA	AT1G10020
17	NA	NA	AT1G10150
18	NA	NA	AT1G10360
19	NA	NA	AT1G10660
20	NA	NA	AT1G11260
21	NA	NA	AT1G11380
22	NA	NA	AT1G12080
23	NA	NA	AT1G12240
24	NA	NA	AT1G13080
25	NA	NA	AT1G13260
26	NA	NA	AT1G15400
27	NA	NA	AT1G15670
28	NA	NA	AT1G15740
29	NA	NA	AT1G15750
30	NA	NA	AT1G17120
31	NA	NA	AT1G18460
32	NA	NA	AT1G19000
33	NA	NA	AT1G19730
34	NA	NA	AT1G19770
35	NA	NA	AT1G21000
36	NA	NA	AT1G21050
37	NA	NA	AT1G21060
38	NA	NA	AT1G21660
39	NA	NA	AT1G22330
40	NA	NA	AT1G22400
41	NA	NA	AT1G22640
42	NA	NA	AT1G23390
43	NA	NA	AT1G23710
44	NA	NA	AT1G25520
45	NA	NA	AT1G25550
46	NA	NA	AT1G27050
47	NA	NA	AT1G27290
48	NA	NA	AT1G29050
49	NA	NA	AT1G29340
50	NA	NA	AT1G30110
51	NA	NA	AT1G30200
52	NA	NA	AT1G30380
53	NA	NA	AT1G30825
54	NA	NA	AT1G31920
55	NA	NA	AT1G32460
56	NA	NA	AT1G32740
57	NA	NA	AT1G33110
58	NA	NA	AT1G34630
59	NA	NA	AT1G35140
60	NA	NA	AT1G35670
61	NA	NA	AT1G37130
62	NA	NA	AT1G48960
63	NA	NA	AT1G49200
64	NA	NA	AT1G49500
65	NA	NA	AT1G50290
66	NA	NA	AT1G51950
67	NA	NA	AT1G53090
68	NA	NA	AT1G54740
69	NA	NA	AT1G60010
70	NA	NA	AT1G61740
71	NA	NA	AT1G63420
72	NA	NA	AT1G63690
73	NA	NA	AT1G64500
74	NA	NA	AT1G65590
75	NA	NA	AT1G65930
76	NA	NA	AT1G66130
77	NA	NA	AT1G66150
78	NA	NA	AT1G66160
79	NA	NA	AT1G66180
80	NA	NA	AT1G66200
81	NA	NA	AT1G66230
82	NA	NA	AT1G67340
83	NA	NA	AT1G68020
84	NA	NA	AT1G68190
85	NA	NA	AT1G68440
86	NA	NA	AT1G68570
87	NA	NA	AT1G68670
88	NA	NA	AT1G68780
89	NA	NA	AT1G68840
90	NA	NA	AT1G69160
91	NA	NA	AT1G69170
92	NA	NA	AT1G69490
93	NA	NA	AT1G69530
94	NA	NA	AT1G69570
95	NA	NA	AT1G70090
96	NA	NA	AT1G70290
97	NA	NA	AT1G70480
98	NA	NA	AT1G70590
99	NA	NA	AT1G70940
100	NA	NA	AT1G71040
101	NA	NA	AT1G71960
102	NA	NA	AT1G71970
103	NA	NA	AT1G72750
104	NA	NA	AT1G72820
105	NA	NA	AT1G72940
106	NA	NA	AT1G73380
107	NA	NA	AT1G73670
108	NA	NA	AT1G73830
109	NA	NA	AT1G73920
110	NA	NA	AT1G74470
111	NA	NA	AT1G74670
112	NA	NA	AT1G74910
113	NA	NA	AT1G75170
114	NA	NA	AT1G75180
115	NA	NA	AT1G75500
116	NA	NA	AT1G76490
117	NA	NA	AT1G76570
118	NA	NA	AT1G76600
119	NA	NA	AT1G76990
120	NA	NA	AT1G79420
121	NA	NA	AT1G79700
122	NA	NA	AT1G80130
123	NA	NA	AT1G80440
124	NA	NA	AT1G80920
125	NA	NA	AT2G01590
126	NA	NA	AT2G01850
127	NA	NA	AT2G02180
128	NA	NA	AT2G02710
129	NA	NA	AT2G03710
130	NA	NA	AT2G03890
131	NA	NA	AT2G04790
132	NA	NA	AT2G04795
133	NA	NA	AT2G05790
134	NA	NA	AT2G06850
135	NA	NA	AT2G18090
136	NA	NA	AT2G18300
137	NA	NA	AT2G18700
138	NA	NA	AT2G20180
139	NA	NA	AT2G21220
140	NA	NA	AT2G21320
141	NA	NA	AT2G22330
142	NA	NA	AT2G22990
143	NA	NA	AT2G23130
144	NA	NA	AT2G24100
145	NA	NA	AT2G24150
146	NA	NA	AT2G24270
147	NA	NA	AT2G24765
148	NA	NA	AT2G25840
149	NA	NA	AT2G25900
150	NA	NA	AT2G26080
151	NA	NA	AT2G26710
152	NA	NA	AT2G26980
153	NA	NA	AT2G27050
154	NA	NA	AT2G27500
155	NA	NA	AT2G27830
156	NA	NA	AT2G28110
157	NA	NA	AT2G28130
158	NA	NA	AT2G28200
159	NA	NA	AT2G28320
160	NA	NA	AT2G28350
161	NA	NA	AT2G29290
162	NA	NA	AT2G29340
163	NA	NA	AT2G29980
164	NA	NA	AT2G30040
165	NA	NA	AT2G30590
166	NA	NA	AT2G31380
167	NA	NA	AT2G31750
168	NA	NA	AT2G31820
169	NA	NA	AT2G32010
170	NA	NA	AT2G32560
171	NA	NA	AT2G33700
172	NA	NA	AT2G34060
173	NA	NA	AT2G34070
174	NA	NA	AT2G34710
175	NA	NA	AT2G35260
176	NA	NA	AT2G35290
177	NA	NA	AT2G35820
178	NA	NA	AT2G36950
179	NA	NA	AT2G37650
180	NA	NA	AT2G37970
181	NA	NA	AT2G38120
182	NA	NA	AT2G38170
183	NA	NA	AT2G38310
184	NA	NA	AT2G38820
185	NA	NA	AT2G39010
186	NA	NA	AT2G39400
187	NA	NA	AT2G39570
188	NA	NA	AT2G39660
189	NA	NA	AT2G40000
190	NA	NA	AT2G41310
191	NA	NA	AT2G41630
192	NA	NA	AT2G42580
193	NA	NA	AT2G42620
194	NA	NA	AT2G42750
195	NA	NA	AT2G43330
196	NA	NA	AT2G43680
197	NA	NA	AT2G43750
198	NA	NA	AT2G44080
199	NA	NA	AT2G44130
200	NA	NA	AT2G44920
201	NA	NA	AT2G45400
202	NA	NA	AT2G45880
203	NA	NA	AT2G45960
204	NA	NA	AT2G46030
205	NA	NA	AT2G46220
206	NA	NA	AT2G46310
207	NA	NA	AT2G46735
208	NA	NA	AT2G46780
209	NA	NA	AT2G46800
210	NA	NA	AT2G47440
211	NA	NA	AT2G47450
212	NA	NA	AT2G47490
213	NA	NA	AT2G47710
214	NA	NA	AT2G48020
215	NA	NA	AT3G01560
216	NA	NA	AT3G02150
217	NA	NA	AT3G02540
218	NA	NA	AT3G03990
219	NA	NA	AT3G04730
220	NA	NA	AT3G05490
221	NA	NA	AT3G06080
222	NA	NA	AT3G06760
223	NA	NA	AT3G07350
224	NA	NA	AT3G07760
225	NA	NA	AT3G11700
226	NA	NA	AT3G11760
