p.value	enrichment	genes
1	2.06702791852919e-06	1.53034608772291	AT1G03600
2	NA	NA	AT1G04530
3	NA	NA	AT1G06040
4	NA	NA	AT1G07180
5	NA	NA	AT1G14580
6	NA	NA	AT1G15820
7	NA	NA	AT1G18330
8	NA	NA	AT1G18740
9	NA	NA	AT1G19050
10	NA	NA	AT1G20070
11	NA	NA	AT1G20650
12	NA	NA	AT1G21080
13	NA	NA	AT1G26920
14	NA	NA	AT1G30690
15	NA	NA	AT1G32540
16	NA	NA	AT1G51680
17	NA	NA	AT1G51700
18	NA	NA	AT1G54100
19	NA	NA	AT1G54130
20	NA	NA	AT1G59740
21	NA	NA	AT1G62380
22	NA	NA	AT1G64970
23	NA	NA	AT1G70210
24	NA	NA	AT1G70610
25	NA	NA	AT1G71030
26	NA	NA	AT1G72450
27	NA	NA	AT1G79150
28	NA	NA	AT2G02080
29	NA	NA	AT2G06520
30	NA	NA	AT2G22540
31	NA	NA	AT2G27420
32	NA	NA	AT2G29670
33	NA	NA	AT2G31570
34	NA	NA	AT2G36870
35	NA	NA	AT2G37570
36	NA	NA	AT2G41870
37	NA	NA	AT2G42190
38	NA	NA	AT2G43010
39	NA	NA	AT2G44940
40	NA	NA	AT2G45600
41	NA	NA	AT2G46680
42	NA	NA	AT2G46710
43	NA	NA	AT2G46820
44	NA	NA	AT2G47180
45	NA	NA	AT3G07360
46	NA	NA	AT3G08940
47	NA	NA	AT3G11670
48	NA	NA	AT3G12110
49	NA	NA	AT3G12600
50	NA	NA	AT3G12670
51	NA	NA	AT3G13310
52	NA	NA	AT3G13690
53	NA	NA	AT3G14850
54	NA	NA	AT3G15350
55	NA	NA	AT3G17040
56	NA	NA	AT3G17330
57	NA	NA	AT3G19720
58	NA	NA	AT3G45780
59	NA	NA	AT3G47470
60	NA	NA	AT3G48610
61	NA	NA	AT3G49670
62	NA	NA	AT3G50340
63	NA	NA	AT3G54400
64	NA	NA	AT3G54810
65	NA	NA	AT3G59060
66	NA	NA	AT3G59940
67	NA	NA	AT3G61130
68	NA	NA	AT4G03400
69	NA	NA	AT4G04840
70	NA	NA	AT4G14150
71	NA	NA	AT4G22010
72	NA	NA	AT4G23050
73	NA	NA	AT4G25630
74	NA	NA	AT4G27410
75	NA	NA	AT4G30960
76	NA	NA	AT4G32020
77	NA	NA	AT4G32190
78	NA	NA	AT4G34050
79	NA	NA	AT4G34240
80	NA	NA	AT4G34740
81	NA	NA	AT4G35250
82	NA	NA	AT4G36040
83	NA	NA	AT4G36220
84	NA	NA	AT4G36380
85	NA	NA	AT4G37180
86	NA	NA	AT4G39330
87	NA	NA	AT5G01520
88	NA	NA	AT5G04490
89	NA	NA	AT5G04590
90	NA	NA	AT5G04940
91	NA	NA	AT5G09810
92	NA	NA	AT5G11700
93	NA	NA	AT5G11790
94	NA	NA	AT5G13630
95	NA	NA	AT5G14640
96	NA	NA	AT5G19040
97	NA	NA	AT5G24030
98	NA	NA	AT5G24380
99	NA	NA	AT5G40390
100	NA	NA	AT5G45830
101	NA	NA	AT5G47040
102	NA	NA	AT5G48930
103	NA	NA	AT5G54470
104	NA	NA	AT5G57040
105	NA	NA	AT5G57610
106	NA	NA	AT5G58870
107	NA	NA	AT5G62170
108	NA	NA	AT5G62280
109	NA	NA	AT5G63130
110	NA	NA	AT5G63700
111	NA	NA	AT5G64040
112	NA	NA	AT5G65720
113	NA	NA	AT5G65780
114	NA	NA	AT5G67280
