p.value	enrichment	genes
1	2.85725952508288e-06	1.6703668479366	AT1G04770
2	NA	NA	AT1G05570
3	NA	NA	AT1G05710
4	NA	NA	AT1G07000
5	NA	NA	AT1G08930
6	NA	NA	AT1G14370
7	NA	NA	AT1G18210
8	NA	NA	AT1G18400
9	NA	NA	AT1G22180
10	NA	NA	AT1G23020
11	NA	NA	AT1G23490
12	NA	NA	AT1G25275
13	NA	NA	AT1G27730
14	NA	NA	AT1G27770
15	NA	NA	AT1G30640
16	NA	NA	AT1G32920
17	NA	NA	AT1G55850
18	NA	NA	AT1G68300
19	NA	NA	AT1G75800
20	NA	NA	AT1G78100
21	NA	NA	AT2G01420
22	NA	NA	AT2G15390
23	NA	NA	AT2G15830
24	NA	NA	AT2G18960
25	NA	NA	AT2G26650
26	NA	NA	AT2G30870
27	NA	NA	AT2G33480
28	NA	NA	AT2G35880
29	NA	NA	AT2G40140
30	NA	NA	AT2G41100
31	NA	NA	AT2G41430
32	NA	NA	AT2G46580
33	NA	NA	AT3G01290
34	NA	NA	AT3G05120
35	NA	NA	AT3G07470
36	NA	NA	AT3G10500
37	NA	NA	AT3G10985
38	NA	NA	AT3G12560
39	NA	NA	AT3G17770
40	NA	NA	AT3G18290
41	NA	NA	AT3G25600
42	NA	NA	AT3G27960
43	NA	NA	AT3G28180
44	NA	NA	AT3G28910
45	NA	NA	AT3G47640
46	NA	NA	AT3G49530
47	NA	NA	AT4G12720
48	NA	NA	AT4G13340
49	NA	NA	AT4G16370
50	NA	NA	AT4G17490
51	NA	NA	AT4G17670
52	NA	NA	AT4G23470
53	NA	NA	AT4G27280
54	NA	NA	AT4G30190
55	NA	NA	AT4G30440
56	NA	NA	AT4G31390
57	NA	NA	AT4G32160
58	NA	NA	AT4G33300
59	NA	NA	AT4G33430
60	NA	NA	AT4G36920
61	NA	NA	AT4G36970
62	NA	NA	AT4G38550
63	NA	NA	AT4G39080
64	NA	NA	AT5G02480
65	NA	NA	AT5G04720
66	NA	NA	AT5G04740
67	NA	NA	AT5G05250
68	NA	NA	AT5G07580
69	NA	NA	AT5G10980
70	NA	NA	AT5G14710
71	NA	NA	AT5G15580
72	NA	NA	AT5G18470
73	NA	NA	AT5G43830
74	NA	NA	AT5G47200
75	NA	NA	AT5G47910
76	NA	NA	AT5G53450
77	NA	NA	AT5G58900
78	NA	NA	AT5G61600
79	NA	NA	AT5G62670
80	NA	NA	AT5G64130
81	NA	NA	AT5G66210
