p.value	enrichment	genes
1	8.90734550301459e-14	2.60941796634799	AT1G01520
2	NA	NA	AT1G01550
3	NA	NA	AT1G01720
4	NA	NA	AT1G01725
5	NA	NA	AT1G06410
6	NA	NA	AT1G09070
7	NA	NA	AT1G19000
8	NA	NA	AT1G19770
9	NA	NA	AT1G22190
10	NA	NA	AT1G26790
11	NA	NA	AT1G32700
12	NA	NA	AT1G35140
13	NA	NA	AT1G37130
14	NA	NA	AT1G57680
15	NA	NA	AT1G66160
16	NA	NA	AT1G66180
17	NA	NA	AT1G68440
18	NA	NA	AT1G68840
19	NA	NA	AT1G70090
20	NA	NA	AT1G73540
21	NA	NA	AT1G73670
22	NA	NA	AT1G75810
23	NA	NA	AT1G76600
24	NA	NA	AT2G01850
25	NA	NA	AT2G23810
26	NA	NA	AT2G28130
27	NA	NA	AT2G30040
28	NA	NA	AT2G39010
29	NA	NA	AT2G40000
30	NA	NA	AT2G44920
31	NA	NA	AT2G46830
32	NA	NA	AT3G10930
33	NA	NA	AT3G12320
34	NA	NA	AT3G12630
35	NA	NA	AT3G16830
36	NA	NA	AT3G19680
37	NA	NA	AT3G47430
38	NA	NA	AT3G55430
39	NA	NA	AT3G55980
40	NA	NA	AT3G57530
41	NA	NA	AT3G59950
42	NA	NA	AT3G63500
43	NA	NA	AT4G01950
44	NA	NA	AT4G02380
45	NA	NA	AT4G08950
46	NA	NA	AT4G16780
47	NA	NA	AT4G17090
48	NA	NA	AT4G27657
49	NA	NA	AT4G27940
50	NA	NA	AT4G32030
51	NA	NA	AT4G33666
52	NA	NA	AT4G34150
53	NA	NA	AT5G05440
54	NA	NA	AT5G06980
55	NA	NA	AT5G13100
56	NA	NA	AT5G16830
57	NA	NA	AT5G17350
58	NA	NA	AT5G22940
59	NA	NA	AT5G51460
60	NA	NA	AT5G57560
61	NA	NA	AT5G59730
62	NA	NA	AT5G62130
