p.value	enrichment	genes
1	6.46498638463736e-21	4.63031397738255	AT1G01060
2	NA	NA	AT1G26790
3	NA	NA	AT1G32900
4	NA	NA	AT1G64500
5	NA	NA	AT1G68440
6	NA	NA	AT1G69570
7	NA	NA	AT1G75690
8	NA	NA	AT1G78510
9	NA	NA	AT2G24100
10	NA	NA	AT2G30520
11	NA	NA	AT2G31380
12	NA	NA	AT2G41250
13	NA	NA	AT2G43330
14	NA	NA	AT2G46830
15	NA	NA	AT3G09600
16	NA	NA	AT3G12320
17	NA	NA	AT3G16830
18	NA	NA	AT3G17609
19	NA	NA	AT3G18780
20	NA	NA	AT3G21890
21	NA	NA	AT3G27170
22	NA	NA	AT3G47430
23	NA	NA	AT3G54500
24	NA	NA	AT3G56290
25	NA	NA	AT4G01280
26	NA	NA	AT4G25470
27	NA	NA	AT4G37550
28	NA	NA	AT4G38060
29	NA	NA	AT4G38960
30	NA	NA	AT5G03555
31	NA	NA	AT5G06980
32	NA	NA	AT5G15850
33	NA	NA	AT5G17300
34	NA	NA	AT5G18670
35	NA	NA	AT5G23730
36	NA	NA	AT5G39660
37	NA	NA	AT5G49480
38	NA	NA	AT5G54130
39	NA	NA	AT5G60850
40	NA	NA	AT5G64840
41	NA	NA	AT5G64940
