p.value	enrichment	genes
1	8.97230164457477e-20	5.38495568359786	AT1G01550
2	NA	NA	AT1G01720
3	NA	NA	AT1G06410
4	NA	NA	AT1G19000
5	NA	NA	AT1G22190
6	NA	NA	AT1G26790
7	NA	NA	AT1G35140
8	NA	NA	AT1G37130
9	NA	NA	AT1G57680
10	NA	NA	AT1G66160
11	NA	NA	AT1G66180
12	NA	NA	AT1G68440
13	NA	NA	AT1G68840
14	NA	NA	AT1G70090
15	NA	NA	AT1G73540
16	NA	NA	AT1G73670
17	NA	NA	AT2G01850
18	NA	NA	AT2G30040
19	NA	NA	AT2G39010
20	NA	NA	AT2G40000
21	NA	NA	AT2G44920
22	NA	NA	AT2G46830
23	NA	NA	AT3G16830
24	NA	NA	AT3G19680
25	NA	NA	AT3G47430
26	NA	NA	AT3G55430
27	NA	NA	AT3G55980
28	NA	NA	AT3G57530
29	NA	NA	AT4G08950
30	NA	NA	AT4G27657
31	NA	NA	AT4G27940
32	NA	NA	AT4G30270
33	NA	NA	AT4G32030
34	NA	NA	AT4G34150
35	NA	NA	AT5G05440
36	NA	NA	AT5G06980
37	NA	NA	AT5G13100
38	NA	NA	AT5G16830
39	NA	NA	AT5G22940
40	NA	NA	AT5G51460
41	NA	NA	AT5G57560
42	NA	NA	AT5G59730
