p.value	enrichment	genes
1	4.4751878593109e-06	2.7973937549985	AT1G18210
2	NA	NA	AT1G23490
3	NA	NA	AT1G27730
4	NA	NA	AT1G27770
5	NA	NA	AT1G32920
6	NA	NA	AT1G56510
7	NA	NA	AT1G75800
8	NA	NA	AT2G24600
9	NA	NA	AT2G40140
10	NA	NA	AT2G41100
11	NA	NA	AT2G41110
12	NA	NA	AT2G41430
13	NA	NA	AT3G10985
14	NA	NA	AT3G45640
15	NA	NA	AT3G49530
16	NA	NA	AT3G57460
17	NA	NA	AT4G13340
18	NA	NA	AT4G27280
19	NA	NA	AT4G30440
20	NA	NA	AT4G33050
21	NA	NA	AT4G36920
22	NA	NA	AT5G47910
23	NA	NA	AT5G52050
24	NA	NA	AT5G66210
