GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0007623	circadian rhythm	0.000183942419474339	0.0086377951309799	26.16 (3/14; 171/20876)	AT4G25480 AT1G22770 AT1G18330
GO:0048511	rhythmic process	0.000183942419474339	0.0086377951309799	26.16 (3/14; 171/20876)	AT4G25480 AT1G22770 AT1G18330
GO:0046686	response to cadmium ion	0.000212221690718041	0.0086377951309799	12.69 (4/14; 470/20876)	AT1G02500 AT5G59430 AT1G78380 AT1G18330
GO:0005982	starch metabolic process	0.000456180847585355	0.0122157027945173	19.2 (3/14; 233/20876)	AT4G25480 AT1G22770 AT4G35090
GO:0006972	hyperosmotic response	0.000560203166178169	0.0122157027945173	17.89 (3/14; 250/20876)	AT4G25480 AT1G02500 AT1G73480
GO:0006006	glucose metabolic process	0.000600254361454728	0.0122157027945173	17.47 (3/14; 256/20876)	AT3G61580 AT1G02500 AT1G78380
GO:0019318	hexose metabolic process	0.000770707430353597	0.0134439190858673	16.03 (3/14; 279/20876)	AT3G61580 AT1G02500 AT1G78380
GO:0005996	monosaccharide metabolic process	0.00125186820973887	0.0178880671280946	13.56 (3/14; 330/20876)	AT3G61580 AT1G02500 AT1G78380
GO:0016052	carbohydrate catabolic process	0.00131847391332076	0.0178880671280946	13.31 (3/14; 336/20876)	AT3G61580 AT1G02500 AT1G78380
GO:0006073	cellular glucan metabolic process	0.0019045129218151	0.0201825710295185	11.71 (3/14; 382/20876)	AT4G25480 AT1G22770 AT4G35090
GO:0044042	glucan metabolic process	0.0019045129218151	0.0201825710295185	11.71 (3/14; 382/20876)	AT4G25480 AT1G22770 AT4G35090
GO:0009414	response to water deprivation	0.00246155617682409	0.0201825710295185	10.7 (3/14; 418/20876)	AT4G25480 AT1G73480 AT1G78380
GO:0009415	response to water	0.00259769782173499	0.0201825710295185	10.5 (3/14; 426/20876)	AT4G25480 AT1G73480 AT1G78380
GO:0080167	response to karrikin	0.00323460727836553	0.0201825710295185	23.3 (2/14; 128/20876)	AT3G47470 AT1G22770
GO:0016036	cellular response to phosphate starvation	0.0034866022170332	0.0201825710295185	22.42 (2/14; 133/20876)	AT1G78380 AT4G35090
GO:0006979	response to oxidative stress	0.00376960057600011	0.0201825710295185	9.2 (3/14; 486/20876)	AT1G22770 AT1G78380 AT4G35090
GO:0042538	hyperosmotic salinity response	0.00506139103372612	0.0201825710295185	18.52 (2/14; 161/20876)	AT4G25480 AT1G73480
GO:0006094	gluconeogenesis	0.00524634775960961	0.0201825710295185	18.18 (2/14; 164/20876)	AT1G02500 AT1G78380
GO:0019319	hexose biosynthetic process	0.00543440237701562	0.0201825710295185	17.86 (2/14; 167/20876)	AT1G02500 AT1G78380
GO:0009648	photoperiodism	0.00568994116299749	0.0201825710295185	17.44 (2/14; 171/20876)	AT1G22770 AT4G35090
GO:0007030	Golgi organization	0.00608347899640212	0.0201825710295185	16.85 (2/14; 177/20876)	AT1G20840 AT1G02500
GO:0046364	monosaccharide biosynthetic process	0.00648921215690826	0.0201825710295185	16.3 (2/14; 183/20876)	AT1G02500 AT1G78380
GO:0010256	endomembrane system organization	0.00733690534589662	0.0201825710295185	15.29 (2/14; 195/20876)	AT1G20840 AT1G02500
GO:0006096	glycolytic process	0.00740970974203029	0.0201825710295185	15.22 (2/14; 196/20876)	AT1G02500 AT1G78380
GO:0006165	nucleoside diphosphate phosphorylation	0.00740970974203029	0.0201825710295185	15.22 (2/14; 196/20876)	AT1G02500 AT1G78380
GO:0006757	ATP generation from ADP	0.00740970974203029	0.0201825710295185	15.22 (2/14; 196/20876)	AT1G02500 AT1G78380
GO:0042866	pyruvate biosynthetic process	0.00740970974203029	0.0201825710295185	15.22 (2/14; 196/20876)	AT1G02500 AT1G78380
GO:0046939	nucleotide phosphorylation	0.00748284503112937	0.0201825710295185	15.14 (2/14; 197/20876)	AT1G02500 AT1G78380
GO:0009135	purine nucleoside diphosphate metabolic process	0.00755631080260185	0.0201825710295185	15.06 (2/14; 198/20876)	AT1G02500 AT1G78380
GO:0009166	nucleotide catabolic process	0.00755631080260185	0.0201825710295185	15.06 (2/14; 198/20876)	AT1G02500 AT1G78380
GO:0009179	purine ribonucleoside diphosphate metabolic process	0.00755631080260185	0.0201825710295185	15.06 (2/14; 198/20876)	AT1G02500 AT1G78380
GO:0009185	ribonucleoside diphosphate metabolic process	0.00755631080260185	0.0201825710295185	15.06 (2/14; 198/20876)	AT1G02500 AT1G78380
GO:0046031	ADP metabolic process	0.00755631080260185	0.0201825710295185	15.06 (2/14; 198/20876)	AT1G02500 AT1G78380
GO:1901292	nucleoside phosphate catabolic process	0.00755631080260185	0.0201825710295185	15.06 (2/14; 198/20876)	AT1G02500 AT1G78380
GO:0009132	nucleoside diphosphate metabolic process	0.00770423215197209	0.0201825710295185	14.91 (2/14; 200/20876)	AT1G02500 AT1G78380
GO:0019359	nicotinamide nucleotide biosynthetic process	0.00785347051209476	0.0201825710295185	14.76 (2/14; 202/20876)	AT1G02500 AT1G78380
GO:0019344	cysteine biosynthetic process	0.00807979028986453	0.0201825710295185	14.55 (2/14; 205/20876)	AT3G47470 AT1G02500
GO:0019363	pyridine nucleotide biosynthetic process	0.00815588517912869	0.0201825710295185	14.48 (2/14; 206/20876)	AT1G02500 AT1G78380
GO:0034404	nucleobase-containing small molecule biosynthetic process	0.00815588517912869	0.0201825710295185	14.48 (2/14; 206/20876)	AT1G02500 AT1G78380
GO:0006534	cysteine metabolic process	0.00823230687047312	0.0201825710295185	14.41 (2/14; 207/20876)	AT3G47470 AT1G02500
GO:0009070	serine family amino acid biosynthetic process	0.00838612903071582	0.0201825710295185	14.27 (2/14; 209/20876)	AT3G47470 AT1G02500
GO:0006754	ATP biosynthetic process	0.00846352868610168	0.0201825710295185	14.2 (2/14; 210/20876)	AT1G02500 AT1G78380
GO:0009201	ribonucleoside triphosphate biosynthetic process	0.00846352868610168	0.0201825710295185	14.2 (2/14; 210/20876)	AT1G02500 AT1G78380
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	0.00846352868610168	0.0201825710295185	14.2 (2/14; 210/20876)	AT1G02500 AT1G78380
GO:0070838	divalent metal ion transport	0.00846352868610168	0.0201825710295185	14.2 (2/14; 210/20876)	AT3G47470 AT1G20840
GO:0009145	purine nucleoside triphosphate biosynthetic process	0.00861930311611239	0.0201825710295185	14.07 (2/14; 212/20876)	AT1G02500 AT1G78380
GO:0072511	divalent inorganic cation transport	0.00861930311611239	0.0201825710295185	14.07 (2/14; 212/20876)	AT3G47470 AT1G20840
GO:0009970	cellular response to sulfate starvation	0.00868563822915847	0.0201825710295185	114.7 (1/14; 13/20876)	AT4G35090
