GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0009611	response to wounding	5.45419583512674e-06	0.00102768532051335	18.33 (5/17; 335/20876)	AT2G46500 AT1G09070 AT3G48360 AT4G34050 AT1G01720
GO:0010200	response to chitin	1.65008339261476e-05	0.00132436000352676	14.58 (5/17; 421/20876)	AT2G46500 AT1G59870 AT1G09070 AT2G40140 AT1G01720
GO:0010243	response to organonitrogen compound	2.10861788271021e-05	0.00132436000352676	13.86 (5/17; 443/20876)	AT2G46500 AT1G59870 AT1G09070 AT2G40140 AT1G01720
GO:0071215	cellular response to abscisic acid stimulus	5.14974760507046e-05	0.00194064172906866	18.68 (4/17; 263/20876)	AT3G07360 AT2G46500 AT3G48360 AT1G01720
GO:0097306	cellular response to alcohol	5.14974760507046e-05	0.00194064172906866	18.68 (4/17; 263/20876)	AT3G07360 AT2G46500 AT3G48360 AT1G01720
GO:0010363	regulation of plant-type hypersensitive response	0.000194469707984468	0.0028122926870487	13.24 (4/17; 371/20876)	AT2G46500 AT1G59870 AT1G09070 AT2G40140
GO:0006612	protein targeting to membrane	0.0002005606098604	0.0028122926870487	13.13 (4/17; 374/20876)	AT2G46500 AT1G59870 AT1G09070 AT2G40140
GO:0072657	protein localization to membrane	0.000206788604669858	0.0028122926870487	13.03 (4/17; 377/20876)	AT2G46500 AT1G59870 AT1G09070 AT2G40140
GO:0090150	establishment of protein localization to membrane	0.000206788604669858	0.0028122926870487	13.03 (4/17; 377/20876)	AT2G46500 AT1G59870 AT1G09070 AT2G40140
GO:0071396	cellular response to lipid	0.000215309060166379	0.0028122926870487	12.89 (4/17; 381/20876)	AT3G07360 AT2G46500 AT3G48360 AT1G01720
GO:0080135	regulation of cellular response to stress	0.000224080950255589	0.0028122926870487	12.76 (4/17; 385/20876)	AT2G46500 AT1G59870 AT1G09070 AT2G40140
GO:0043067	regulation of programmed cell death	0.000249536409689374	0.0028122926870487	12.4 (4/17; 396/20876)	AT2G46500 AT1G59870 AT1G09070 AT2G40140
GO:0009626	plant-type hypersensitive response	0.000259290871004028	0.0028122926870487	12.28 (4/17; 400/20876)	AT2G46500 AT1G59870 AT1G09070 AT2G40140
GO:0034050	host programmed cell death induced by symbiont	0.000261771918496904	0.0028122926870487	12.25 (4/17; 401/20876)	AT2G46500 AT1G59870 AT1G09070 AT2G40140
GO:0010941	regulation of cell death	0.000269318029623155	0.0028122926870487	12.16 (4/17; 404/20876)	AT2G46500 AT1G59870 AT1G09070 AT2G40140
GO:0042538	hyperosmotic salinity response	0.000282770323842172	0.0028122926870487	22.88 (3/17; 161/20876)	AT1G73480 AT2G46500 AT1G01720
