GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0010243	response to organonitrogen compound	4.41168541593888e-17	3.00458996222363e-14	6.73 (31/217; 443/20876)	AT1G27730 AT2G40000 AT1G09070 AT2G23810 AT1G59870 AT3G49530 AT5G22890 AT2G46830 AT5G04340 AT5G16830 AT1G01720 AT1G32640 AT1G32460 AT1G32920 AT4G18950 AT4G27280 AT4G33430 AT1G76600 AT1G02450 AT5G05410 AT3G09010 AT3G62720 AT3G53180 AT3G46600 AT1G23710 AT3G52450 AT1G66160 AT1G05010 AT3G50260 AT3G55430 AT3G55980
GO:0010200	response to chitin	9.0030746652157e-17	3.06578384652345e-14	6.86 (30/217; 421/20876)	AT1G27730 AT2G40000 AT1G09070 AT2G23810 AT1G59870 AT3G49530 AT5G22890 AT5G04340 AT5G16830 AT1G01720 AT1G32640 AT1G32460 AT1G32920 AT4G18950 AT4G27280 AT4G33430 AT1G76600 AT1G02450 AT5G05410 AT3G09010 AT3G62720 AT3G53180 AT3G46600 AT1G23710 AT3G52450 AT1G66160 AT1G05010 AT3G50260 AT3G55430 AT3G55980
GO:0071396	cellular response to lipid	1.32451529945772e-11	3.00688210087418e-09	5.81 (23/217; 381/20876)	AT1G27730 AT3G29575 AT4G18710 AT3G48360 AT1G01720 AT1G32640 AT5G10450 AT4G18950 AT5G54380 AT4G33430 AT5G58430 AT1G20650 AT5G05440 AT5G08130 AT5G66880 AT2G22430 AT4G00710 AT5G42050 AT1G05010 AT3G50260 AT3G02140 AT5G47120 AT2G33150
GO:0009414	response to water deprivation	2.99460500471784e-09	5.09870904750644e-07	4.83 (21/217; 418/20876)	AT1G73480 AT1G27730 AT2G41430 AT1G01720 AT1G32640 AT4G18950 AT2G17840 AT5G05410 AT3G05630 AT1G64660 AT1G20440 AT3G52450 AT2G47180 AT1G29395 AT4G24190 AT5G26340 AT5G66880 AT2G22430 AT3G50260 AT1G20450 AT5G47120
GO:0009415	response to water	4.18665807336126e-09	5.70266899676787e-07	4.74 (21/217; 426/20876)	AT1G73480 AT1G27730 AT2G41430 AT1G01720 AT1G32640 AT4G18950 AT2G17840 AT5G05410 AT3G05630 AT1G64660 AT1G20440 AT3G52450 AT2G47180 AT1G29395 AT4G24190 AT5G26340 AT5G66880 AT2G22430 AT3G50260 AT1G20450 AT5G47120
GO:0071407	cellular response to organic cyclic compound	3.23553329674915e-08	3.67261411052053e-06	4.65 (19/217; 393/20876)	AT2G43010 AT1G59870 AT5G35735 AT4G18710 AT1G32640 AT5G10450 AT4G18950 AT5G54380 AT4G33430 AT1G02450 AT2G21120 AT5G08130 AT2G27500 AT4G00710 AT5G42050 AT4G11330 AT1G05010 AT5G24930 AT5G47120
GO:0010941	regulation of cell death	5.00567236592682e-08	3.79926436831912e-06	4.52 (19/217; 404/20876)	AT2G43010 AT1G09070 AT1G59870 AT5G35735 AT1G32640 AT4G18950 AT4G33430 AT1G02450 AT5G48930 AT1G13260 AT4G33300 AT2G27500 AT5G42050 AT4G11330 AT1G05010 AT3G50260 AT3G25070 AT5G24930 AT5G47120
GO:0009738	abscisic acid-activated signaling pathway	5.35386775272095e-08	3.79926436831912e-06	5.82 (15/217; 248/20876)	AT1G27730 AT3G29575 AT3G48360 AT1G01720 AT1G32640 AT4G18950 AT5G58430 AT5G05440 AT5G66880 AT2G22430 AT5G42050 AT3G50260 AT3G02140 AT5G47120 AT2G33150
GO:0002679	respiratory burst involved in defense response	5.57851800603271e-08	3.79926436831912e-06	8.75 (11/217; 121/20876)	AT1G27730 AT3G49530 AT4G33430 AT1G76600 AT3G53180 AT3G46600 AT1G23710 AT3G52450 AT1G66160 AT3G50260 AT3G55980
GO:0045730	respiratory burst	5.57851800603271e-08	3.79926436831912e-06	8.75 (11/217; 121/20876)	AT1G27730 AT3G49530 AT4G33430 AT1G76600 AT3G53180 AT3G46600 AT1G23710 AT3G52450 AT1G66160 AT3G50260 AT3G55980
GO:0010363	regulation of plant-type hypersensitive response	7.16563275841167e-08	4.43652095185871e-06	4.67 (18/217; 371/20876)	AT2G43010 AT1G09070 AT1G59870 AT5G35735 AT1G32640 AT4G18950 AT4G33430 AT1G02450 AT5G48930 AT1G13260 AT4G33300 AT2G27500 AT5G42050 AT4G11330 AT1G05010 AT3G25070 AT5G24930 AT5G47120
GO:0071215	cellular response to abscisic acid stimulus	1.15522905398889e-07	6.05209067150453e-06	5.49 (15/217; 263/20876)	AT1G27730 AT3G29575 AT3G48360 AT1G01720 AT1G32640 AT4G18950 AT5G58430 AT5G05440 AT5G66880 AT2G22430 AT5G42050 AT3G50260 AT3G02140 AT5G47120 AT2G33150
