GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0010243	response to organonitrogen compound	8.04848582220207e-16	4.28467783203851e-13	5.3 (35/311; 443/20876)	AT2G46500 AT1G59870 AT1G09070 AT2G23810 AT3G49530 AT1G76600 AT1G27730 AT5G04340 AT1G32640 AT1G32920 AT2G40750 AT2G40000 AT2G39660 AT1G01720 AT3G55980 AT3G55430 AT1G66160 AT1G02450 AT5G16830 AT2G39730 AT5G05410 AT3G09010 AT3G53180 AT4G33430 AT1G05010 AT3G46600 AT1G22070 AT3G50260 AT5G22890 AT4G18950 AT2G46830 AT1G23710 AT1G66880 AT3G52450 AT3G62720
GO:0010200	response to chitin	1.11214315312475e-15	4.28467783203851e-13	5.42 (34/311; 421/20876)	AT2G46500 AT1G59870 AT1G09070 AT2G23810 AT3G49530 AT1G76600 AT1G27730 AT5G04340 AT1G32640 AT1G32920 AT2G40750 AT2G40000 AT2G39660 AT1G01720 AT3G55980 AT3G55430 AT1G66160 AT1G02450 AT5G16830 AT2G39730 AT5G05410 AT3G09010 AT3G53180 AT4G33430 AT1G05010 AT3G46600 AT1G22070 AT3G50260 AT5G22890 AT4G18950 AT1G23710 AT1G66880 AT3G52450 AT3G62720
GO:0010363	regulation of plant-type hypersensitive response	7.16853567178162e-11	1.71741202658004e-08	4.7 (26/311; 371/20876)	AT2G46500 AT1G59870 AT1G09070 AT5G35735 AT5G47120 AT1G32640 AT2G40750 AT5G42050 AT2G39660 AT1G02450 AT2G39730 AT5G48930 AT4G33430 AT1G05010 AT2G27500 AT1G13260 AT5G24930 AT1G22070 AT3G25070 AT4G11330 AT4G33300 AT4G18950 AT3G57330 AT2G24550 AT1G66880 AT3G44720
GO:0010941	regulation of cell death	8.9155269139401e-11	1.71741202658004e-08	4.49 (27/311; 404/20876)	AT2G46500 AT1G59870 AT1G09070 AT5G35735 AT5G47120 AT1G32640 AT2G40750 AT5G42050 AT2G39660 AT1G02450 AT2G39730 AT5G48930 AT4G33430 AT1G05010 AT2G27500 AT1G13260 AT5G24930 AT1G22070 AT3G25070 AT3G50260 AT4G11330 AT4G33300 AT4G18950 AT3G57330 AT2G24550 AT1G66880 AT3G44720
GO:0080135	regulation of cellular response to stress	1.61036263135342e-10	2.48165357084358e-08	4.53 (26/311; 385/20876)	AT2G46500 AT1G59870 AT1G09070 AT5G35735 AT5G47120 AT1G32640 AT2G40750 AT5G42050 AT2G39660 AT1G02450 AT2G39730 AT5G48930 AT4G33430 AT1G05010 AT2G27500 AT1G13260 AT5G24930 AT1G22070 AT3G25070 AT4G11330 AT4G33300 AT4G18950 AT3G57330 AT2G24550 AT1G66880 AT3G44720
GO:0071407	cellular response to organic cyclic compound	2.5148726515861e-10	3.22962593151057e-08	4.44 (26/311; 393/20876)	AT2G46500 AT1G59870 AT5G35735 AT5G47120 AT1G32640 AT2G40750 AT5G42050 AT2G39660 AT1G02450 AT2G39730 AT4G02410 AT2G21120 AT4G33430 AT1G05010 AT2G27500 AT5G24930 AT1G22070 AT4G00710 AT5G08130 AT1G34420 AT4G11330 AT4G18950 AT5G54380 AT5G10450 AT1G66880 AT4G18710
GO:0043067	regulation of programmed cell death	2.96354400063406e-10	3.26212662926937e-08	4.41 (26/311; 396/20876)	AT2G46500 AT1G59870 AT1G09070 AT5G35735 AT5G47120 AT1G32640 AT2G40750 AT5G42050 AT2G39660 AT1G02450 AT2G39730 AT5G48930 AT4G33430 AT1G05010 AT2G27500 AT1G13260 AT5G24930 AT1G22070 AT3G25070 AT4G11330 AT4G33300 AT4G18950 AT3G57330 AT2G24550 AT1G66880 AT3G44720
GO:0009626	plant-type hypersensitive response	3.67956140684616e-10	3.32389826553325e-08	4.36 (26/311; 400/20876)	AT2G46500 AT1G59870 AT1G09070 AT5G35735 AT5G47120 AT1G32640 AT2G40750 AT5G42050 AT2G39660 AT1G02450 AT2G39730 AT5G48930 AT4G33430 AT1G05010 AT2G27500 AT1G13260 AT5G24930 AT1G22070 AT3G25070 AT4G11330 AT4G33300 AT4G18950 AT3G57330 AT2G24550 AT1G66880 AT3G44720
GO:0034050	host programmed cell death induced by symbiont	3.88242215441384e-10	3.32389826553325e-08	4.35 (26/311; 401/20876)	AT2G46500 AT1G59870 AT1G09070 AT5G35735 AT5G47120 AT1G32640 AT2G40750 AT5G42050 AT2G39660 AT1G02450 AT2G39730 AT5G48930 AT4G33430 AT1G05010 AT2G27500 AT1G13260 AT5G24930 AT1G22070 AT3G25070 AT4G11330 AT4G33300 AT4G18950 AT3G57330 AT2G24550 AT1G66880 AT3G44720
GO:0006612	protein targeting to membrane	4.54891778361845e-10	3.44924257484701e-08	4.49 (25/311; 374/20876)	AT2G46500 AT1G59870 AT1G09070 AT5G35735 AT5G47120 AT1G32640 AT2G40750 AT5G42050 AT2G39660 AT1G02450 AT2G39730 AT5G48930 AT4G33430 AT1G05010 AT2G27500 AT1G13260 AT5G24930 AT1G22070 AT4G11330 AT4G33300 AT4G18950 AT3G57330 AT2G24550 AT1G66880 AT3G44720
