GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0010200	response to chitin	5.00870747402224e-18	3.73935438327624e-15	4.33 (49/561; 421/20876)	AT2G23320 AT1G73540 AT5G16830 AT5G14740 AT5G64310 AT5G63130 AT5G57560 AT5G42650 AT5G24530 AT5G05140 AT5G03720 AT3G62720 AT3G57530 AT3G55980 AT3G55430 AT3G52450 AT3G50910 AT3G50060 AT3G49530 AT4G34150 AT4G33430 AT4G31800 AT4G31550 AT4G26090 AT4G01250 AT1G32060 AT1G66880 AT1G66160 AT3G19970 AT3G18710 AT3G08720 AT3G11820 AT3G01480 AT1G64380 AT1G68840 AT1G07520 AT1G32920 AT1G18740 AT1G01720 AT1G32640 AT2G40140 AT1G08930 AT1G09940 AT1G23710 AT2G30040 AT2G41100 AT2G40000 AT2G44490 AT2G33700
GO:0010243	response to organonitrogen compound	8.25176925461656e-18	3.73935438327624e-15	4.2 (50/561; 443/20876)	AT2G23320 AT1G73540 AT5G16830 AT5G14740 AT5G64310 AT5G63130 AT5G57560 AT5G42650 AT5G24530 AT5G05140 AT5G03720 AT3G62720 AT3G57530 AT3G55980 AT3G55430 AT3G52450 AT3G50910 AT3G50060 AT3G49530 AT4G34150 AT4G33430 AT4G31800 AT4G31550 AT4G26090 AT4G01250 AT1G32060 AT1G66880 AT1G66160 AT3G19970 AT3G18710 AT3G08720 AT3G11820 AT3G01480 AT1G64380 AT1G68840 AT1G07520 AT1G32920 AT1G18740 AT1G01720 AT1G32640 AT2G40140 AT1G08930 AT1G09940 AT1G23710 AT2G46830 AT2G30040 AT2G41100 AT2G40000 AT2G44490 AT2G33700
GO:0007623	circadian rhythm	1.5889302177755e-14	3.60018136185448e-12	6.09 (28/561; 171/20876)	AT5G08330 AT5G48250 AT5G37260 AT5G24470 AT5G11260 AT3G62980 AT3G61070 AT3G57040 AT3G54810 AT3G48360 AT4G33980 AT4G30200 AT4G25480 AT3G22380 AT3G06500 AT3G07650 AT1G04990 AT1G01060 AT1G18330 AT2G21660 AT1G04400 AT1G22770 AT1G09570 AT1G09530 AT2G43010 AT2G41310 AT2G46830 AT2G18790
GO:0048511	rhythmic process	1.5889302177755e-14	3.60018136185448e-12	6.09 (28/561; 171/20876)	AT5G08330 AT5G48250 AT5G37260 AT5G24470 AT5G11260 AT3G62980 AT3G61070 AT3G57040 AT3G54810 AT3G48360 AT4G33980 AT4G30200 AT4G25480 AT3G22380 AT3G06500 AT3G07650 AT1G04990 AT1G01060 AT1G18330 AT2G21660 AT1G04400 AT1G22770 AT1G09570 AT1G09530 AT2G43010 AT2G41310 AT2G46830 AT2G18790
GO:0071396	cellular response to lipid	4.27485391244584e-14	7.38280508856495e-12	4 (41/561; 381/20876)	AT2G33150 AT4G36540 AT5G25190 AT5G66880 AT5G66730 AT5G65430 AT5G65310 AT5G58430 AT5G42050 AT5G11260 AT5G10450 AT5G05440 AT3G63010 AT3G61070 AT3G57530 AT3G57040 AT3G48360 AT4G34000 AT4G33430 AT4G18710 AT3G29575 AT3G08720 AT3G11820 AT3G07360 AT3G02140 AT3G11410 AT1G20650 AT1G74670 AT1G69270 AT1G62380 AT1G07430 AT1G01720 AT1G32640 AT1G64610 AT1G15100 AT2G22430 AT1G09530 AT2G05940 AT2G46680 AT2G30040 AT2G44080
GO:0009414	response to water deprivation	4.88757131298725e-14	7.38280508856495e-12	3.83 (43/561; 418/20876)	AT1G56600 AT5G66880 AT5G61590 AT5G57660 AT5G52310 AT5G47100 AT5G40390 AT3G63010 AT3G57530 AT3G53420 AT3G52450 AT4G39090 AT4G34000 AT4G30960 AT4G25480 AT4G04330 AT1G22190 AT3G19970 AT3G23920 AT3G30775 AT3G06760 AT3G11820 AT3G05640 AT3G10500 AT3G11410 AT1G20440 AT1G69270 AT1G01720 AT1G33240 AT1G32640 AT1G76180 AT1G54100 AT2G47180 AT2G21660 AT1G04400 AT2G22430 AT1G08930 AT2G05940 AT2G46680 AT2G18960 AT2G41430 AT2G30870 AT2G33700
GO:0009415	response to water	9.45256231984643e-14	1.22385806878012e-11	3.76 (43/561; 426/20876)	AT1G56600 AT5G66880 AT5G61590 AT5G57660 AT5G52310 AT5G47100 AT5G40390 AT3G63010 AT3G57530 AT3G53420 AT3G52450 AT4G39090 AT4G34000 AT4G30960 AT4G25480 AT4G04330 AT1G22190 AT3G19970 AT3G23920 AT3G30775 AT3G06760 AT3G11820 AT3G05640 AT3G10500 AT3G11410 AT1G20440 AT1G69270 AT1G01720 AT1G33240 AT1G32640 AT1G76180 AT1G54100 AT2G47180 AT2G21660 AT1G04400 AT2G22430 AT1G08930 AT2G05940 AT2G46680 AT2G18960 AT2G41430 AT2G30870 AT2G33700
GO:0035556	intracellular signal transduction	1.01316197754625e-12	1.14780587193069e-10	3.38 (45/561; 495/20876)	AT2G23320 AT2G23290 AT5G08330 AT5G14740 AT5G25190 AT5G24930 AT5G58430 AT5G47100 AT5G42650 AT5G42050 AT5G24530 AT5G11260 AT5G07580 AT5G01820 AT3G63010 AT3G57530 AT3G55980 AT3G49530 AT4G34000 AT4G31550 AT4G30960 AT4G26090 AT4G01250 AT1G32060 AT1G25560 AT1G66880 AT1G66160 AT3G08720 AT3G11820 AT3G01480 AT1G69270 AT1G07520 AT1G32920 AT1G64610 AT1G54100 AT2G40140 AT1G23710 AT1G05000 AT2G43010 AT2G05940 AT2G27050 AT2G41310 AT2G30040 AT2G41100 AT2G44490
GO:0006972	hyperosmotic response	7.65242285466824e-12	7.70612406768346e-10	4.47 (30/561; 250/20876)	AT5G58070 AT5G52310 AT5G49720 AT5G14640 AT5G04590 AT3G63010 AT3G57530 AT3G53420 AT4G39100 AT4G39090 AT4G30960 AT4G25480 AT4G18710 AT3G19970 AT3G26520 AT3G05880 AT3G11820 AT3G05640 AT3G11410 AT1G20440 AT1G69270 AT1G62380 AT1G06040 AT1G07890 AT1G01720 AT1G65930 AT2G21660 AT2G05940 AT2G46680 AT2G41430
GO:0080167	response to karrikin	3.03572175197959e-11	2.75132255626782e-09	6.11 (21/561; 128/20876)	AT5G25460 AT5G63810 AT5G51550 AT5G42900 AT5G18470 AT5G11260 AT5G06980 AT3G47470 AT3G44720 AT4G33980 AT1G25520 AT1G74670 AT1G06040 AT1G31350 AT2G36080 AT1G22770 AT1G70420 AT2G27820 AT2G46170 AT2G34650 AT2G30490
GO:0010363	regulation of plant-type hypersensitive response	1.32721218312486e-10	1.09352123413445e-08	3.51 (35/561; 371/20876)	AT5G08330 AT5G14740 AT5G24930 AT5G48930 AT5G47180 AT5G42650 AT5G42050 AT5G24530 AT3G63010 AT3G57530 AT3G57330 AT3G44720 AT4G34150 AT4G33430 AT4G26090 AT1G32060 AT1G51680 AT1G66880 AT3G19970 AT3G08720 AT3G11820 AT3G01480 AT1G13260 AT1G69270 AT1G18740 AT1G32640 AT1G64610 AT2G40140 AT2G24550 AT2G43010 AT2G27500 AT2G05940 AT2G18730 AT2G41100 AT2G44490
GO:0006612	protein targeting to membrane	1.65467244723002e-10	1.09707663501603e-08	3.48 (35/561; 374/20876)	AT5G08330 AT5G14740 AT5G24930 AT5G48930 AT5G47180 AT5G42650 AT5G42050 AT5G24530 AT3G63010 AT3G57530 AT3G57330 AT3G44720 AT4G34150 AT4G33430 AT4G26090 AT1G32060 AT1G51680 AT1G66880 AT3G19970 AT3G08720 AT3G11820 AT3G01480 AT1G13260 AT1G69270 AT1G18740 AT1G32640 AT1G64610 AT2G40140 AT2G24550 AT2G43010 AT2G27500 AT2G05940 AT2G18730 AT2G41100 AT2G44490
GO:0006833	water transport	1.97988679010016e-10	1.09707663501603e-08	5.54 (21/561; 141/20876)	AT5G49720 AT5G04590 AT3G53420 AT4G39100 AT4G39090 AT4G18710 AT3G26520 AT3G16240 AT3G05880 AT3G11820 AT1G20440 AT1G62380 AT1G06040 AT1G07890 AT1G65930 AT1G75500 AT2G21660 AT1G60010 AT2G39010 AT2G41430 AT2G18790
GO:0042044	fluid transport	1.97988679010016e-10	1.09707663501603e-08	5.54 (21/561; 141/20876)	AT5G49720 AT5G04590 AT3G53420 AT4G39100 AT4G39090 AT4G18710 AT3G26520 AT3G16240 AT3G05880 AT3G11820 AT1G20440 AT1G62380 AT1G06040 AT1G07890 AT1G65930 AT1G75500 AT2G21660 AT1G60010 AT2G39010 AT2G41430 AT2G18790
