 AT1G01060 AT1G04400 AT1G09530 AT1G09570 AT2G18790 AT2G25930_ZT0 AT2G25930_ZT4 AT2G25930_ZT8 AT2G25930_ZT10 AT2G25930_ZT12 AT2G25930_ZT16 AT2G25930_ZT20 AT2G37678 AT2G40080 AT2G43010 AT2G46790 AT2G46830_ZT02 AT2G46830_ZT14 AT3G46640_ZT08 AT3G46640_ZT10 AT3G46640_ZT12 AT3G59060 AT5G02810 AT5G24470 AT5G61380
AT1G01060 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AT1G04400 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
AT1G09530 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0
AT1G09570 0 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0
AT2G18790 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0
AT2G25930_ZT0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AT2G25930_ZT4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AT2G25930_ZT8 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AT2G25930_ZT10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AT2G25930_ZT12 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AT2G25930_ZT16 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AT2G25930_ZT20 1 0 0 0 1 1 1 1 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0
AT2G37678 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
AT2G40080 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
AT2G43010 1 0 0 1 1 0 0 1 1 1 1 1 0 1 1 0 0 1 0 1 1 1 1 1 1
AT2G46790 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AT2G46830_ZT02 1 0 0 1 1 0 1 0 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1
AT2G46830_ZT14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
AT3G46640_ZT08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AT3G46640_ZT10 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 0
AT3G46640_ZT12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
AT3G59060 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
AT5G02810 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
AT5G24470 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0
AT5G61380 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 1
