genes troughs peaks
ATMG00750 ZT20 ZT8
ATMG01000 ZT8 ZT0
ATMG00580 ZT12 ZT0
ATCG01090 ZT8 ZT0
ATCG01100 ZT12 ZT0
ATCG01110 ZT12 ZT0
ATCG01040 ZT8 ZT0
ATCG00580 ZT12 ZT0
ATCG00640 ZT8 ZT0
ATCG00650 ZT12 ZT0
ATCG00720 ZT12 ZT4
ATCG00750 ZT12 ZT20
ATCG00760 ZT12 ZT0
ATCG00820 ZT12 ZT20
unknown_10 ZT12 ZT20
unknown_11 ZT12 ZT0
unknown_15 ZT8 ZT16
ATCG00160 ZT12 ZT4
ATCG00470 ZT8 ZT20
ATCG00510 ZT12 ZT0
ATCG00120 ZT20 ZT0
ATCG00130 ZT12 ZT0
AT2G26580 ZT4 ZT16
AT2G26620 ZT8 ZT16
AT2G26560 ZT0 ZT8
AT2G26540 ZT0 ZT12
AT2G26430 ZT8 ZT0
AT2G26500 ZT8 ZT20
AT2G26510 ZT4 ZT20
ATCG00070 ZT12 ZT0
AT2G23320 ZT4 ZT0
AT2G26440 ZT0 ZT8
AT2G39770 ZT8 ZT16
AT2G39730 ZT12 ZT4
AT2G39760 ZT4 ZT16
AT2G39795 ZT20 ZT12
AT2G39725 ZT4 ZT8
AT2G39840 ZT16 ZT4
AT2G23200 ZT0 ZT12
AT2G23180 ZT20 ZT4
AT2G23170 ZT12 ZT4
AT2G23340 ZT0 ZT12
AT2G23290 ZT12 ZT0
AT2G39850 ZT16 ZT4
AT2G40900 ZT12 ZT0
AT2G40950 ZT20 ZT12
AT2G40840 ZT0 ZT12
AT2G40880 ZT12 ZT4
AT2G40890 ZT12 ZT0
AT2G41540 ZT0 ZT4
AT2G41630 ZT8 ZT0
AT2G41620 ZT4 ZT20
AT2G41560 ZT12 ZT20
AT2G47420 ZT4 ZT0
AT2G47450 ZT12 ZT0
AT2G45380 ZT8 ZT20
AT2G45350 ZT0 ZT12
AT2G45310 ZT20 ZT4
unknown_24 ZT4 ZT0
AT2G45210 ZT12 ZT16
AT2G45190 ZT12 ZT0
AT2G45400 ZT12 ZT0
AT2G45240 ZT0 ZT12
AT2G45200 ZT4 ZT20
AT2G45280 ZT4 ZT16
AT2G47490 ZT8 ZT0
AT5G12470 ZT16 ZT4
AT2G33230 ZT12 ZT0
AT2G33210 ZT0 ZT12
AT2G33150 ZT4 ZT12
AT2G47470 ZT0 ZT12
AT2G47440 ZT8 ZT0
AT5G12390 ZT4 ZT16
AT5G12420 ZT8 ZT0
AT5G12440 ZT12 ZT0
AT1G67710 ZT4 ZT16
AT1G67660 ZT0 ZT8
AT1G67810 ZT4 ZT12
AT1G67740 ZT16 ZT4
AT1G67750 ZT0 ZT4
AT1G67800 ZT4 ZT12
AT1G67850 ZT8 ZT20
AT1G67840 ZT12 ZT20
AT1G67720 ZT4 ZT16
AT5G12310 ZT8 ZT0
AT5G12370 ZT4 ZT16
AT1G67830 ZT8 ZT16
AT4G25620 ZT8 ZT0
unknown_37 ZT0 ZT8
AT4G25570 ZT16 ZT0
AT1G44446 ZT16 ZT0
AT4G17490 ZT4 ZT16
AT4G17615 ZT0 ZT12
AT4G15440 ZT4 ZT12
AT4G14150 ZT20 ZT4
AT4G16360 ZT4 ZT12
AT4G14385 ZT4 ZT0
AT4G16563 ZT12 ZT16
AT4G17740 ZT4 ZT20
AT4G17245 ZT12 ZT0
AT4G14400 ZT0 ZT12
AT4G17070 ZT4 ZT0
AT4G14500 ZT4 ZT0
AT4G14960 ZT0 ZT12
AT4G16430 ZT4 ZT12
AT4G17250 ZT8 ZT20
AT4G14950 ZT20 ZT4
AT4G16780 ZT12 ZT0
AT4G15550 ZT8 ZT0
AT4G17730 ZT8 ZT0
AT4G15560 ZT12 ZT4
AT4G13980 ZT4 ZT0
AT4G14210 ZT16 ZT4
AT4G16660 ZT0 ZT12
AT4G14340 ZT4 ZT16
AT4G16370 ZT8 ZT16
AT4G17530 ZT8 ZT0
AT4G17695 ZT0 ZT12
AT4G14690 ZT12 ZT4
AT4G17486 ZT4 ZT20
AT4G15140 ZT4 ZT12
AT4G14320 ZT0 ZT12
AT4G15420 ZT12 ZT0
AT4G14800 ZT4 ZT16
AT4G14000 ZT8 ZT0
AT4G16980 ZT8 ZT0
AT4G16146 ZT0 ZT8
AT4G16444 ZT4 ZT16
AT4G15545 ZT8 ZT16
AT4G17260 ZT0 ZT12
AT4G14365 ZT4 ZT12
AT4G14930 ZT8 ZT0
AT4G14410 ZT8 ZT20
AT4G15800 ZT8 ZT16
AT4G16566 ZT8 ZT16
AT4G16442 ZT16 ZT4
AT4G14420 ZT4 ZT12
AT4G16447 ZT4 ZT12
AT4G16720 ZT20 ZT12
AT4G15830 ZT20 ZT8
AT4G15475 ZT4 ZT20
AT4G17090 ZT4 ZT0
AT4G17770 ZT0 ZT12
AT4G16690 ZT8 ZT0
AT4G17640 ZT12 ZT0
AT4G15490 ZT0 ZT4
AT4G16000 ZT12 ZT4
AT4G17390 ZT20 ZT4
AT4G13940 ZT8 ZT0
AT4G17790 ZT8 ZT0
AT4G17460 ZT12 ZT0
AT4G17720 ZT0 ZT12
AT4G14965 ZT4 ZT16
AT4G16840 ZT4 ZT0
AT4G15000 ZT20 ZT4
unknown_41 ZT0 ZT8
AT4G17760 ZT0 ZT12
AT4G17810 ZT12 ZT4
AT4G14020 ZT8 ZT20
AT4G14010 ZT8 ZT0
AT4G16410 ZT8 ZT0
AT4G17650 ZT8 ZT12
AT4G16520 ZT12 ZT0
AT4G15680 ZT4 ZT0
AT4G17420 ZT0 ZT12
AT4G14560 ZT16 ZT4
AT4G14900 ZT8 ZT0
AT4G17040 ZT8 ZT20
AT4G17670 ZT0 ZT16
AT4G17150 ZT4 ZT8
AT4G17240 ZT0 ZT12
AT4G17350 ZT8 ZT0
AT4G17360 ZT0 ZT8
AT4G17370 ZT0 ZT16
AT4G17430 ZT20 ZT4
AT4G17550 ZT16 ZT0
AT4G17570 ZT0 ZT12
