names	x.pos	y.pos	peak.zt	trough.zt	CCA1	LHY	TOC1	PRR5	PRR7	PRR9	PHYA	PHYB	CRY2	FHY1	LUX	PIF3	PIF4	PIF5	ELF4	ELF3	indegree	outdegree	transitivity	closeness	betweeness	eccentricity	description	ZT0	ZT4	ZT8	ZT12	ZT16	ZT20	CCA1_ZT02	CCA1_ZT14	LHY_ZT02	TOC1_ZT15	PRR5_ZT10	PRR7_ZT12	PRR9_ZT??	PHYA_ZT00	PHYB_ZT00	CRY2_ZT08	FHY1_ZT04	LUX_ZT10	LUX_ZT12	PIF3_ZT08	PIF4_ZT04	PIF5_ZT04	ELF4_ZT10	ELF3_ZT00	ELF3_ZT04
AT3G46640	-3320.37280273438	2388.611328125	NA	troughNA	1	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	7	185	0.0153527686734518	0.393287494043162	2.4771156867457e-05	3	Homeodomain-like superfamily protein	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0
AT2G46790	-3102.5654296875	2338.40196102561	NA	troughNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	61	0.0703331570597567	0.442749846719804	4.00084488253879e-07	3	pseudo-response regulator 9	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G18790	-3033.095703125	2427.3056640625	NA	troughNA	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	6	754	0.00812312201239252	0.532442396313364	9.00429341860957e-05	3	phytochrome B	9.15149279596274	9.0830939355252	8.87675598218231	9.01980184432374	8.89648347753924	9.0134265411576	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0
AT2G37678	-3418.40380859375	2463.53283140958	NA	troughNA	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	4	127	0.0276820866141732	0.334782104775151	2.33410976974142e-06	3	far-red elongated hypocotyl 1	NA	NA	NA	NA	NA	NA	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0
AT2G42200	-3196.72729492188	4103.01110118151	peak8	trough0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0.666666666666667	0.00017307026652821	0	3	squamosa promoter binding protein-like 9	6.59322238014571	7.50146763004034	7.51140768375705	7.35000896208029	7.06996699867241	6.77414872024162	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42190	-2479.15478515625	2358.66686290026	peak4	trough12	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	6	0	1	0.00017307026652821	0	3	PTHR34055:SF4 - EXPRESSED PROTEIN (1 of 2)	7.93476217693792	8.39627095172237	7.5262124824165	7.2591846527941	7.37826749388447	7.60282551623017	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0
AT2G42220	-2384.75854492188	2942.25890391588	peak4	trough16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4	Rhodanese/Cell cycle control phosphatase superfamily protein	11.7184786445639	11.8867922257193	11.8670110354993	11.0657063530398	10.5717442233715	11.2914641063607	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G39660	-3604.52734375	1901.85070079088	peak0	trough4	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	4	0	1	0.00017307026652821	0	3	botrytis-induced kinase1	8.05615367507723	6.73740669412489	7.1906077328413	7.30575843995071	7.81943830503245	7.87148952637206	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
AT2G26710	-2939.65747070312	1733.38365977526	peak0	trough12	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	6	0	0.933333333333333	0.00017307026652821	0	3	Cytochrome P450 superfamily protein	6.09878023104142	5.55470471509213	5.11705693090536	4.92924405208187	5.47433746317793	5.37557449338335	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1
AT2G26690	-2664.60693359375	1879.42003672838	peak0	trough12	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	4	0	0.833333333333333	0.00017307026652821	0	4	Major facilitator superfamily protein	10.5423536952149	10.4791770794061	9.33523531409652	8.9893575305251	9.43337566238898	9.7353714162865	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
